module,finding_count,authority_result,status,mxx_authority_is_domain_scoped,authority_not_whole_artifact_replacement,unrelated_core_detail_protected,authority_inversion_detected,step07_recheck
M01,14,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M02,17,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M03,21,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M04,17,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M05,10,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M06,18,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M07,19,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M08,18,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M09,6,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M10,17,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M11,10,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M12,10,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M13,4,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M14,20,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
M15,22,PRESERVED,PASS,YES,YES,YES,NO,"PASS — independently reconciled against current authority register, boundary evidence and STEP05/STEP06."
