Decision ID,Source/Step,Source Evidence,Affected Module/Scope,Classification,Trigger,Decision,Rationale/Handling,Authority,Impact,Affected Artifacts/Core Scope,Dependency,Status,Provenance
D-M01M15-001,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M01,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: OTP-successful Agent activation must not retain a default Pending Review/approval gate.,Plan canonical activation path; physical/runtime remains downstream.,M01,Semantic / architecture / evidence-boundary as applicable,M01-WP02; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-002,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M01,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Verification Document Create/View/Review scopes must remain distinct and non-public.,Carry into authorization/privacy planning.,M01,Semantic / architecture / evidence-boundary as applicable,M01-WP03; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-003,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M01,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: KTP is an eligibility/requirement condition, not an RBAC permission.",Explicit negative authority rule.,M01,Semantic / architecture / evidence-boundary as applicable,M01-WP02; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-004,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M01,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: ISI NANTI → KTP DEFERRED/NOT_PROVIDED → ACCOUNT ACTIVE → HOME path must be represented if absent.,Planning obligation; no Core mutation.,M01,Semantic / architecture / evidence-boundary as applicable,M01-WP02; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-005,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M02,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Profile PUBLIC/PRIVATE must be a visibility state, not an RBAC scope.",Plan visibility/authorization separation.,M02,Semantic / architecture / evidence-boundary as applicable,M02-WP03; IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-006,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M02,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Public/WhatsApp CTA requires explicit Agent opt-in.,Carry into profile behavior and discovery planning.,M02,Semantic / architecture / evidence-boundary as applicable,M02-WP01; IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-007,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M02,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Only Superadmin may administratively override another Agent profile visibility/Public CTA.,Authorization planning; exact IDs remain evidence-gated.,M02,Semantic / architecture / evidence-boundary as applicable,M02-WP04; IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-008,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M02,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Reviews auto-approve for publication; Admin moderation is post-publication.,Remove approval-gate interpretation from planning.,M02,Semantic / architecture / evidence-boundary as applicable,M02-WP02; IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-009,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Normal Publish must not use a Pending Review gate or Admin approval gate.,Direct Publish semantics.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP01; IP-04,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-010,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Suspended is enforcement/ethics state, separate from publication approval.",Keep lifecycle states distinct.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP01; IP-04,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
