finding_id,module,execution_wp,execution_batch,wp_exists,duplicate_finding,core_preserved,core_modified,p9_engineering_treatment,runtime_status,p11_context_required,p11_context_route,p11_runtime_boundary
M01-CI-001,M01,M01-P4-WP01,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-002,M01,M01-P4-WP01,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-003,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-004,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-005,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-006,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-007,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-008,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-009,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-010,M01,M01-P4-WP04,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
