coverage_id,authority_domain,requirement,integration_subject,downstream_sync,orphan_status,required_next_action
COV-001,M11/M09,Static Public Content administrative configuration,STATIC_PUBLIC_CONTENT,STEP08/STEP13,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-002,M11/M09,Public Announcement/Promotion administrative configuration,ANNOUNCEMENT_PROMOTION,STEP08/STEP13,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-003,M14,Promotion configurable parameters,PROMOTION_CONFIGURATION,STEP08/STEP09,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-004,M14,Subscription configurable parameters,SUBSCRIPTION_CONFIGURATION,STEP08/STEP09,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-005,M14,Add-on configurable parameters,ADDON_CONFIGURATION,STEP08/STEP09,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-006,M14/M03,Quota configurable parameters,QUOTA_CONFIGURATION,STEP08/STEP10/STEP12,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-007,M14,Payment Gateway,PAYMENT_GATEWAY,STEP08/STEP09/STEP11,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-008,M14,Midtrans MVP,MIDTRANS_MVP,STEP08/STEP09/STEP11,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-009,M14,Payment Provider Adapter,PAYMENT_PROVIDER_ADAPTER,STEP09/STEP11,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-010,M03/M14/M10,Listing Refresh,LISTING_REFRESH,STEP08/STEP11/STEP12,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-011,M14/M03,Refresh Allowance,REFRESH_ALLOWANCE,STEP08/STEP10/STEP12,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
COV-012,M14/M03,Agent Refresh quota,AGENT_REFRESH_QUOTA,STEP08/STEP10/STEP12,NO_ORPHAN,Must be consumed by the designated downstream synchronization step; no silent omission.
