logical_entity,field_count,logical_mapping_status,physical_table,physical_table_present,physical_column_count,logical_classification,physical_disposition
ADDONS,12,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,addons,YES,12,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AGENT_AI_CONNECTIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_ai_connections,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AGENT_PROFILES,20,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_profiles,YES,17,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AGENT_PROJECT_CLAIMS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_project_claims,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AGENT_REVIEWS,12,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_reviews,YES,12,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AGENT_VERIFICATION_DOCUMENTS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_verification_documents,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AI_PROVIDERS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ai_providers,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AMENITIES,2,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,amenities,YES,2,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AUDIT_LOGS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,audit_logs,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_CONDITIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_conditions,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_CONDITION_GROUPS,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_condition_groups,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_PATHS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_paths,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_PATH_RULES,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_path_rules,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_PATH_VERSIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_path_versions,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_PREREQUISITES,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_prerequisites,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARDING_RULE_VERSIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_rule_versions,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
AWARD_INSTANCES,14,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,award_instances,YES,14,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
