repo_relative_path,size_bytes,sha256
.gitignore,177,ea8ff50536bd80308278308300cff071392973de425953a2c2a436913398e91d
PROJECT_STRUCTURE.md,2518,d4df73fa52b97a9a0e2817ee70ea22131f619e060e4a014e7ee0c67ec632158b
README.md,4657,27aa3fd77c50b8baa307502b1eb871112ee620db124b06dafa4c74d98cb54522
archive/source-packs-current/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,10675,4392a4ecf1f3b1c3c170d921e10159e6fba60e3f72825ab35829c19dbd8cbe7f
archive/source-packs-current/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,147584,1b912658bd2bad4730b34eae25a32c37599e377cd51e1e48f01b2bffc113a82c
archive/source-packs-current/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,63186,6cb5f5f578a90c8cea0cdc2c3c3ac8b0af08fc27d9874ef36d847175cd5296b9
archive/source-packs-current/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,86886,958c2e83f0ae83da72a21a1fbc8939f93aa7f3fdad61479e59203ef24a5490ed
archive/source-packs-current/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,34112,6a16adf8bd2a2e3946d0c0ce521f24dd520d6705821546bfc4b7baf85ee6eb4e
archive/source-packs-current/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,361303,839a7eca7999f5905de846686536a1129bd591ac1c81eb9bdcb02efdaac67534
archive/source-packs-current/RUMAHAGEN_STEP07_CROSS_MODULE_AUTHORITY_AND_COMPLETE_INTEGRATION_COVERAGE_FULL_v1.1.zip,194931,56317e8be715d8bff3ea2311f5ecc40235677b044311cab42aa61e0426ed7c0c
archive/source-packs-current/RUMAHAGEN_STEP08_BUSINESS_RULES_BASELINE_CONSOLIDATED_FULL_v1.1_CORRECTED.zip,57199,21c45f2bfaa3bc86661bfa29c90e1083167573821698161b688a6c76573da86a
archive/source-packs-current/RUMAHAGEN_STEP09-A2_CONSTITUTION_CONTROLLED_REENTRY_FULL_VERSION_v1.17.zip,55875,c6bee627ffbf6d1b2054ec6138bccb60a58a066c9a864aa5eab7d129ce45f721
archive/source-packs-current/RUMAHAGEN_STEP09-B_ARCHITECTURE_CONTROLLED_REENTRY_FULL_VERSION_v1.9.zip,98322,5dea71e59a93d42b0325cd3eb9bc1cc4171f68b398d019c6699cd6ad7e753cc8
archive/source-packs-current/RUMAHAGEN_STEP09-C_TECHNICAL_DECISIONS_CONTROLLED_REENTRY_FULL_VERSION_v1.6.zip,53289,6b1b09431cac1425b6a4499553a0cbef724142f21f4e9bda96c2c5da5f1ab043
