Module,Material Obligations,P13_DECISION_CHANGE_LOG Obligation Records,Current Authority Summary,Locked Boundary,Status
M01,4,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M02,4,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M03,9,9,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M04,3,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M05,2,2,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M06,5,5,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M07,2,2,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M08,2,2,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M09,4,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M10,3,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M11,4,5,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M12,3,3,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M13,4,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M14,5,6,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
M15,3,4,Covered from P3 obligation corpus and P12_RECONCILIATION_EVIDENCE successor reconciliation,See locked register where applicable,PASS
