coverage_id,authority_domain,requirement,governance_semantics,integration_subject,downstream_sync,coverage_status
COV-001,M11/M09,Static Public Content administrative configuration,M09/configuration owner + M11 discovery/SEO/tracking/measurement,STATIC_PUBLIC_CONTENT,STEP08/STEP13,HARDENED
COV-002,M11/M09,Public Announcement/Promotion administrative configuration,Publication/configuration remains with M09 or applicable domain; M11 is discovery/measurement,ANNOUNCEMENT_PROMOTION,STEP08/STEP13,HARDENED
COV-003,M14,Promotion configurable parameters,Promotion settings remain configurable under M14,PROMOTION_CONFIGURATION,STEP08/STEP09,HARDENED
COV-004,M14,Subscription configurable parameters,Subscription settings remain configurable under M14,SUBSCRIPTION_CONFIGURATION,STEP08/STEP09,HARDENED
COV-005,M14,Add-on configurable parameters,Add-on settings remain configurable under M14,ADDON_CONFIGURATION,STEP08/STEP09,HARDENED
COV-006,M14/M03,Quota configurable parameters,Commercial quota/entitlement configuration remains distinct from M03 action truth,QUOTA_CONFIGURATION,STEP08/STEP10/STEP12,HARDENED
COV-007,M14,Payment Gateway,Payment is M14 authority with explicit integration path,PAYMENT_GATEWAY,STEP08/STEP09/STEP11,HARDENED
COV-008,M14,Midtrans MVP,Midtrans is MVP provider behind Provider Adapter,MIDTRANS_MVP,STEP08/STEP09/STEP11,HARDENED
COV-009,M14,Payment Provider Adapter,Provider implementation stays behind adapter boundary,PAYMENT_PROVIDER_ADAPTER,STEP09/STEP11,HARDENED
COV-010,M03/M14/M10,Listing Refresh,M03 action truth; M14 allowance; M10 authorization,LISTING_REFRESH,STEP08/STEP11/STEP12,HARDENED
COV-011,M14/M03,Refresh Allowance,M14 entitlement/allowance consumed by M03,REFRESH_ALLOWANCE,STEP08/STEP10/STEP12,HARDENED
COV-012,M14/M03,Agent Refresh quota,Agent refresh capacity/allowance explicitly traceable,AGENT_REFRESH_QUOTA,STEP08/STEP10/STEP12,HARDENED
COV-013,M06/M03,Developer Project field compatibility with Listing,Developer Project source fields must be compatible with M03 Listing fields,PROJECT_LISTING_FIELD_PARITY,STEP10/STEP11/STEP13,HARDENED
COV-014,M06/M03/M10,Claim → approval → Listing transfer safety,Transfer preserves Listing integrity and authority boundaries,CLAIM_TRANSFER,STEP08/STEP10/STEP11/STEP12,HARDENED
COV-015,M06,Project Media semantic boundary,Project Media is photo/video semantic,PROJECT_MEDIA,STEP08/STEP10/STEP13,HARDENED
COV-016,M06,Marketing Kit separation,Marketing Kit remains separate from Project Media,MARKETING_KIT,STEP08/STEP10/STEP13,HARDENED
COV-017,M02,Indonesia Province profile field,Province is part of Indonesian region hierarchy,PROFILE_REGION,STEP10/STEP13,HARDENED
COV-018,M02,Indonesia City/Regency profile field,City/Regency is below Province,PROFILE_REGION,STEP10/STEP13,HARDENED
COV-019,M02,Indonesia District profile field,District is below City/Regency,PROFILE_REGION,STEP10/STEP13,HARDENED
COV-020,M02,Profile address detail,Regional hierarchy accompanies address detail,PROFILE_ADDRESS,STEP10/STEP13,HARDENED
COV-021,M10,Permission Preset,Configurable authorization for existing role baseline; never a new role,PERMISSION_PRESET,STEP08/STEP12,HARDENED
COV-022,M01,KTP optional/deferred,OTP verified → ACTIVE; KTP may remain deferred/ISI NANTI,KTP_DEFERRED,STEP08/STEP12/STEP13,HARDENED
COV-023,M05,Live adapter choice,Live sessions use an explicit provider/adapter boundary,LIVE_ADAPTER,STEP09/STEP11/STEP13,HARDENED
COV-024,M05,LiveKit adapter,LiveKit remains an available live-session adapter,LIVEKIT,STEP09/STEP11,HARDENED
COV-025,M05,Zoom adapter,Zoom remains an available live-session adapter,ZOOM,STEP09/STEP11,HARDENED
COV-026,M05,Google Meet adapter,Google Meet remains an available live-session adapter,GOOGLE_MEET,STEP09/STEP11,HARDENED
COV-027,M07/M09,DBR configuration,M07 owns DBR semantics; M09 may provide permitted configuration surface,DBR_CONFIGURATION,STEP08/STEP09/STEP12,HARDENED
COV-028,M03,Maps optional,Maps/location mapping is optional and cannot block canonical operation where not required,MAPS_OPTIONAL,STEP08/STEP10/STEP13,HARDENED
COV-029,M11,Google ownership configurable,"Google/analytics ownership is configurable, not hard-coded to personal account",GOOGLE_OWNERSHIP,STEP09/STEP13,HARDENED
COV-030,M10/M14,Entitlement is not RBAC,Commercial entitlement/quota state is distinct from Role/Permission,ENTITLEMENT_VS_RBAC,STEP08/STEP12,HARDENED
COV-031,M14/ALL,Configurable values not silently hard-coded,Governed configurable values remain configurable,CONFIGURABLE_VALUES,STEP08/STEP09,HARDENED
COV-032,M14/M15,Q01–Q64 remain M14,Commercial/payment questions stay in M14,M14_Q01_Q64,STEP08/STEP14,HARDENED
COV-033,M14/M15,Q40/Q54/Q61/Q62 remain M14,Specific disputed questions stay in M14,M14_Q40_Q54_Q61_Q62,STEP08/STEP14,HARDENED
COV-034,M04/M15,Evidence is not automatically award,M04 evidence production; M15 qualification/awarding,EVIDENCE_VS_AWARD,STEP08/STEP14,HARDENED
COV-035,M08,Dashboard/notification is projection,M08 cannot become generic business mutation authority,DASHBOARD_PROJECTION,STEP08/STEP13,HARDENED
COV-036,M13/M10,Provider Catalogue mutation Superadmin-only,Catalogue mutation is Superadmin-only; M10 authorizes,PROVIDER_CATALOGUE,STEP08/STEP12,HARDENED
COV-037,M13/M10,BYOK own-connection ownership,Agent/User owns own connection; no sharing/transfer/cross-user ownership,BYOK_OWNERSHIP,STEP08/STEP12,HARDENED
COV-038,M11/ALL,M11 discovery does not own source lifecycle,M11 cannot replace lifecycle/configuration authority of source domains,M11_BOUNDARY,STEP07/STEP08,HARDENED
COV-039,M10/ALL,Authorization does not create ownership/entitlement,M10 authorizes but does not create business ownership or commercial entitlement,AUTHORIZATION_SEPARATION,STEP08/STEP12,HARDENED
COV-040,ALL,Lifecycle omission is not deletion,Mxx omission does not delete valid Core lifecycle state/transition,LIFECYCLE_PRESERVATION,STEP06/STEP08/STEP14,HARDENED
COV-041,ALL,Duplicate semantic objects consolidate,Duplicates become one canonical representation with combined provenance,DUPLICATE_CONSOLIDATION,STEP06/STEP08/STEP14,HARDENED
