finding_id,module,classification,core_artifact_id,core_path,mxx_authority_artifact,affected_semantic_component,mxx_rule_delta_or_resolution,exact_reconcile_scope,merge_action,update_granularity,unaffected_core_detail_retained,whole_rule_set_replaced,whole_artifact_replaced,omitted_core_detail_deleted,authority_used_for_unrelated_deletion,closure
M01-CI-007,M01,AUGMENT,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,RULE_CONDITION,Conditional KTP eligibility,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M01-CI-009,M01,RECONCILE,CAM11-0039,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,LIFECYCLE,PENDING_REVIEW is not an account-activation gate; OTP VERIFIED → ACCOUNT ACTIVE; KTP optional; ISI NANTI → KTP DEFERRED/NOT_PROVIDED while account remains ACTIVE.,Only M01 Agent account activation / KTP-at-activation path. Do not globally delete PENDING_REVIEW; preserve other legitimate lifecycle uses.,APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M02-CI-008,M02,RECONCILE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,LIFECYCLE;ACTOR_AUTHORITY;DISCOVERY_SEO,"Buyer Submit → AUTO-APPROVED → Published/Viewable; Agent Self-Review → AUTO-APPROVED → Published/Viewable; Admin moderation is post-publication, not approval gate.",Only M02 Agent Review publication/moderation semantics. Does not make every review-like resource globally auto-approved.,APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M02-CI-009,M02,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,ACTOR_AUTHORITY;OWNERSHIP_SCOPE,Outcome Presentation — non-owning,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M02-CI-011,M02,RECONCILE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,LIFECYCLE,KTP may be deferred; OTP VERIFIED → ACCOUNT ACTIVE; ISI NANTI → KTP DEFERRED/NOT_PROVIDED; no PENDING_REVIEW activation gate.,Exact STEP03/STEP04 target anchors CAM11-0034 and CAM11-0036; only registration/KTP activation semantics. Preserve all unrelated Pending Review states.,APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-001,M03,RECONCILE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,LIFECYCLE;ACTOR_AUTHORITY;DISCOVERY_SEO,"Normal Listing publication = DRAFT → PUBLISH → PUBLISHED. No Admin approval gate. SUSPENDED is enforcement, not publication approval.",Only normal M03 Listing publication. Do not globally remove PENDING_REVIEW where another domain legitimately uses it.,APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-006,M03,ADD-NEW,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,RULE_CONDITION;API_CONTRACT;COMMERCIAL,Refresh daily quota default 5,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-009,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,API_CONTRACT,Refresh Asia/Jakarta reset,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-010,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,RULE_CONDITION;API_CONTRACT,One successful Refresh per Listing/day,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-011,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,API_CONTRACT,District-local Refresh repositioning,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-012,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,API_CONTRACT,Refresh tie-break first recorded,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-014,M03,ADD-NEW,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,FIELD_ENTITY,Media derivative thumbnails,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-015,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,FIELD_ENTITY,Media no stretching,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-016,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,SEMANTIC_GENERAL,Listing geographic binding,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M03-CI-018,M03,ADD-NEW,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,API_CONTRACT,API Refresh,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M04-CI-010,M04,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,RBAC_RLS,Session permission family,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
