Artifact,Size bytes,SHA-256
01_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.md,5855,00cf36c97972683a8b784182838f666735aa0c52fc353349e7e128cedefa6d56
02_STEP02_M01-M15_ARTIFACT_INVENTORY_FULL.csv,1138437,37215d93fe38f93196eafcc909674090320038e63889c932db6574eaba3f9818
03_STEP02_CURRENT_AUTHORITY_REGISTER.csv,4105,7e3f538cca6b4bfaf74d4ccc461972515c7012a92eb8363b7559137c3e3b8d77
04_STEP02_HISTORICAL_SUPERSEDED_SUPPORTING_REGISTER.csv,3593,ddbbc9de84eba1f85dd96e3c5f960b743aaefce63b03fba5a9d7d4e6280bf9b8
05_STEP02_SCOPE_CAPABILITY_INVENTORY.csv,3637,e4c598fab2e232bd0433c0423bab1a287f793c5b400a9f2393cba1b394f3d383
06_STEP02_CROSS_MODULE_DEPENDENCY_MATRIX.csv,19221,0bdb7ccf447e30a56172ad4f79239aa8bd2026cdb2ac1d6854ddad07ddf6277d
07_STEP02_CONFLICT_RESIDUAL_INVENTORY.csv,1393,5efd1281b04c951b1a3240c3c248cd0986588ae994077cad0d1b540380416025
08_STEP02_CHECKLIST_VERIFICATION.csv,1455,b6b024aa93a2434c2f602ac1f48e3e205f37fb2967552f62f638cf5a473819bf
09_STEP02_INTEGRATION_READINESS_REGISTER.csv,1566,9e554570b46062796ba8dfea0d5710ad827a873c01fa39aa46e8b13adea36baf
README_STEP02_FULL_VERSION_v1.1.md,929,fe8facf7f29321a2f550f40701380c64203037d0f8b4cac5f86b00824ce5a9a0
