risk_id,risk,severity,classification,handling,p5_primary_batch,p5_final_reconciliation_batch,p5_handling,p5_resolution_claim
D13-01,M14→M03 commercial-capacity invocation remains semantic/data-contract evidence; no exact internal API-to-API invocation contract is evidenced.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B04,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-02,"M14→M04 purchased-LP handoff is semantically defined through commercial fulfillment → M04 LP grant, but no exact internal invocation contract is evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B05,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-03,"M04 governed evidence → M15 Qualification Evaluation/Award is valid, but endpoint-level field/contract traceability is not uniformly frozen.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B05,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-04,"PUT /admin/config/dbr is present, but Core wording remains Superadmin-only while M07 semantic authority permits Admin configuration; M10 remains final authorization authority.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B02,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-05,"M11 public discovery/measurement consumes M14 Promotion truth, but Announcement/Promotion lifecycle administration remains incomplete and split across M09/M14 responsibilities.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-06,"M10 Permission Preset semantic contract is locked, but no exact current endpoint family is evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B02,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-07,"M08 Notification State includes dismiss/delivery-state semantics, but exact current operations for those semantics are not fully evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-08,M09 Notification Template / Content Configuration is locked ADD-NEW but lacks a complete current Core endpoint/storage contract.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-09,"M13 Provider Catalogue mutation is semantically Superadmin-only, but exact mutation routes are not evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-10,M13 FORCE_REVOKE/FORCE_DISCONNECT/FORCE_DISABLE administrative interventions are semantically required but exact routes are not evidenced.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
