step,screen_id,loading,empty,validation,success,error_retry,denied_restricted,offline_interrupted,authoritative_mutation_rule
WF-04.02,LRN-002,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.02,ADM-LRN-001,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.02,ADM-LRN-002,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.02,ADM-LRN-003,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.03,LRN-003,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.03,LRN-004,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.03,ADM-LRN-005,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.04,LRN-005,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.04,LRN-006,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.04,ADM-LRN-006,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.04,ADM-LRN-004,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.04,ADM-LRN-009,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,LRN-007,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,LRN-008,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,LRN-009,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,ADM-LRN-010,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,ADM-LRN-011,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,ADM-LRN-013,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.05,ADM-LRN-012,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.06,LP-001,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.06,LP-002,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.06,LP-003,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.06,LP-004,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.06,ADM-LRN-007,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
WF-04.06,ADM-LRN-008,skeleton,zero-data guidance,field-level inline,only after authoritative response,retry without duplicate mutation,fail closed where applicable,interrupted/offline recovery,No optimistic authoritative outcome
