Residual ID,Status,Source,Treatment,P13_DECISION_CHANGE_LOG Decision Treatment
CR-001,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-002,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-003,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-004,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-005,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-006,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-007,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-008,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-009,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-010,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-011,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-012,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-013,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-014,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-015,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-016,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-017,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-018,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-019,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-020,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-021,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-022,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-023,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-024,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-025,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-026,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-027,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-028,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-029,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-030,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-031,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-032,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-033,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-034,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-035,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-036,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-037,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
