Module,Semantic scope,Capability/entity domain,Lifecycle,Permission relevance,Primary dependencies,Cross-module relevance
M01,Identity/authentication; conditional KTP/deferred identity completion,"Identity/account, authentication, KTP lifecycle",M01 auth semantics; physical/runtime downstream,Governed by M10; module-specific permissions remain in module authority,M02/M10/M12/M14/M15 as governed dependencies,M02/M10/M12/M14/M15 as governed dependencies
M02,"Profile, reviews, profile visibility, public CTA",Profile/review/public visibility,M02 visibility semantics,Governed by M10; module-specific permissions remain in module authority,M01/M03/M11/M12,M01/M03/M11/M12
M03,Listing and Refresh action authority,"Listing, media/search/refresh",Listing lifecycle; Refresh action,Governed by M10; module-specific permissions remain in module authority,M06/M11/M14,M06/M11/M14
M04,"Learning authority, Learning Economy, learning lifecycle/session evidence","Learning, course/session/enrollment/evidence",Learning lifecycle,Governed by M10; module-specific permissions remain in module authority,M10/M14/M15,M10/M14/M15
M05,"Event, Calendar, Event Registration",Event/calendar/registration,Event lifecycle/registration,Governed by M10; module-specific permissions remain in module authority,M04/M11,M04/M11
M06,"Developer, Developer Project, Marketing Kit, Claim",Developer/project/media/marketing/claim,Project/claim/marketing lifecycle,Governed by M10; module-specific permissions remain in module authority,M03/M11/M14,M03/M11/M14
M07,DBR domain/configuration authority,DBR calculator/config,Configuration lifecycle,Governed by M10; module-specific permissions remain in module authority,M09/M10,M09/M10
M08,Dashboard Projection and Notification State only,Projection/notification,Projection state,Governed by M10; module-specific permissions remain in module authority,M01-M15 upstream sources,M01-M15 upstream sources
M09,Administration/configuration/export/audit authority,Admin/report/export/audit,Administrative lifecycle,Governed by M10; module-specific permissions remain in module authority,M10 and domain owners,M10 and domain owners
M10,"Authorization: Role, Role Permission, Permission Preset, Capability, Scope, Condition, Ownership, Organization, RLS",RBAC/authorization,Authorization resolution,Governed by M10; module-specific permissions remain in module authority,All modules,All modules
M11,"Public discovery, SEO, tracking/measurement across approved public surfaces",Public content/listing/agent/org/developer-project/event/static/announcement,Discovery/indexing/measurement,Governed by M10; module-specific permissions remain in module authority,M02/M03/M05/M06/M09/M12/M14,M02/M03/M05/M06/M09/M12/M14
M12,Organization authority/membership/lifecycle/context,Organization/membership,Membership lifecycle,Governed by M10; module-specific permissions remain in module authority,M03/M10/M11/M14,M03/M10/M11/M14
M13,Provider catalogue and BYOK governance,AI provider/configuration,Provider/config lifecycle,Governed by M10; module-specific permissions remain in module authority,M10/M09,M10/M09
M14,Commercial: subscription/add-on/promotion/order/payment/entitlement/quota/reconciliation/Refresh allowance semantics,Commercial/payment/entitlement/quota,Commercial lifecycle,Governed by M10; module-specific permissions remain in module authority,M03/M04/M06/M10/M11/M15,M03/M04/M06/M10/M11/M15
M15,"Title, qualification, evidence, awarding authority",Qualification/evidence/title/award,Awarding lifecycle,Governed by M10; module-specific permissions remain in module authority,M04/M10/M14,M04/M10/M14
