Source module,Target module,Semantic dependency,Authority dependency,Data dependency,API dependency,Permission dependency,Downstream dependency,Evidence dependency
M01,M02,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M01,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M01,M12,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M01,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M02,M01,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M02,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M02,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M02,M12,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M03,M01,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M03,M06,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M03,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M03,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M03,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M04,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M04,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M04,M15,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M05,M04,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M05,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M06,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M06,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M06,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M07,M09,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M07,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M01,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M02,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M04,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
