Core Package,Package Name,Scope,Dependency Gate,P13_DECISION_CHANGE_LOG Coverage,Linked Decisions,Classification,Mutation Rule,P14ManifestStatus,MutationRule,P15Status,P15Treatment,PhysicalRuntimeBoundary,SuccessorRelationship
IP-00,Foundation / Execution Readiness,No semantic module; documentation/environment readiness,Independent documentation-level work,No direct M01-M15 obligation row; preserve as Core governance/control scope,D-LOCK-007,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-01,Identity + Authorization Foundation,M01 + M10,IP-00,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-001;D-M01M15-002;D-M01M15-003;D-M01M15-004;D-M01M15-019;D-M01M15-020;D-M01M15-026;D-M01M15-034;D-M01M15-036;D-M01M15-037;D-M01M15-038;D-M01M15-044;D-M01M15-046;D-M01M15-047;D-M01M15-048;D-M01M15-049;D-M01M15-057,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-02,Profile + Organization Context,M02 + M12,IP-01,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-005;D-M01M15-006;D-M01M15-007;D-M01M15-008;D-M01M15-012;D-M01M15-038;D-M01M15-043;D-M01M15-044;D-M01M15-045;D-M01M15-056,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-03,Developer / Project,M06,IP-01; conditional M09,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-023;D-M01M15-024;D-M01M15-025;D-M01M15-026;D-M01M15-027,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-04,Listing,M03,M01/M10/M12; conditional M02/M06/M09/M14,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-009;D-M01M15-010;D-M01M15-011;D-M01M15-012;D-M01M15-013;D-M01M15-014;D-M01M15-015;D-M01M15-016;D-M01M15-017;D-M01M15-027;D-M01M15-053,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-05,Event / Calendar,M05,M01/M10; conditional M06/M04,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-021;D-M01M15-022,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-06,Learning Core,M04 Learning Core + Economy,M01/M10; conditional M12/M14/M05/M09,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-018;D-M01M15-019;D-M01M15-055,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-07,Commercial / Payment,M14,M01/M10,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-014;D-M01M15-015;D-M01M15-050;D-M01M15-051;D-M01M15-052;D-M01M15-053;D-M01M15-054;D-M01M15-055,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-08,Learning Session Extension,M04 Session,M01/M10/M04; conditional M12/M05/M09,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-021;D-M01M15-022,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-09,Awarding,M15,M01/M10/M04 evidence; conditional M12/M14/M09,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-055;D-M01M15-056;D-M01M15-057,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-10,DBR,M07,M01/M10/M09 configuration,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-028;D-M01M15-029,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-11,Dashboard / Notification,M08,Producing domain contracts; non-blocking,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-030;D-M01M15-031;D-M01M15-056,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-12,Admin / Configuration / Audit,M09,IP-01; domain-specific administration,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-028;D-M01M15-029;D-M01M15-032;D-M01M15-033;D-M01M15-034;D-M01M15-035;D-M01M15-042;D-M01M15-043,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-13,SEO / Analytics,M11,Public-domain contracts,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-011;D-M01M15-017;D-M01M15-033;D-M01M15-039;D-M01M15-040;D-M01M15-041;D-M01M15-042;D-M01M15-043;D-M01M15-056,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-14,AI BYOK,M13,M01/M10; conditional M09,P13_DECISION_CHANGE_LOG ledger coverage = explicit,D-M01M15-046;D-M01M15-047;D-M01M15-048;D-M01M15-049,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-15,Cross-Domain Hardening,All canonical domains; not a new module,Critical cross-domain contracts stabilized,No direct M01-M15 obligation row; preserve as Core governance/control scope,D-LOCK-007,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Documentary/design state only,Accepted successor artifacts carry changes outside immutable Core
IP-16,Physical / Verification Handoff,Downstream physical/runtime handoff,IP-15 + downstream execution gates,No direct M01-M15 obligation row; preserve as Core governance/control scope,D-LOCK-007,PRESERVE / RECONCILE,Core v1.3 remains immutable; successor ledger records impact only.,EXPLICITLY_MANIFESTED,Core v1.3 remains immutable/read-only; P14_PROJECT_MANIFEST records scope/provenance only,FROZEN / IMMUTABLE REFERENCE,Scope/provenance/current-state snapshot only; Core v1.3 is not modified,Downstream physical/runtime verification handoff; NOT VERIFIED by P15_PROJECT_CURRENT_STATE,Accepted successor artifacts carry changes outside immutable Core
