sync_id,finding_id,module,module_authority_artifact,step03_relationship_id,core_artifact_id,authority_owner,authority_source_artifact,authority_basis,linkage_status,linkage_basis,historical_core_artifact_id
STEP04-0001,M01-CI-001,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0001,CAM11-0034,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0002,M01-CI-002,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0002,CAM11-0034,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0003,M01-CI-003,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0003,CAM11-0034,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0004,M01-CI-004,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0005,M01-CI-005,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0006,M01-CI-006,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0415,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0034
STEP04-0007,M01-CI-007,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0008,M01-CI-008,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0498,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040
STEP04-0009,M01-CI-009,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0483,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,CORE IMPLEMENTATION STRATEGY AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Integrated implementation sequencing under freeze,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0039
STEP04-0010,M01-CI-010,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
