module,scope,authority,p4_reconciliation,p9_authority_result,authority_inversion,engineering_rule
M01,Identity / User / Authentication,Identity authority,Preserve,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M02,Profile / Review,Profile/review authority,Preserve,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M03,Listing / Listing Lifecycle / Refresh,Listing + Refresh action/eligibility authority,Preserve + augment,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M04,Learning / Learning Economy / Session,Learning/session/evidence-production authority,Preserve + augment,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M05,Event / Registration,Event/registration authority,Preserve,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M06,Developer / Project / Marketing Kit / Claim,Developer/project/claim authority,Preserve + augment,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M07,DBR,DBR authority,Preserve,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M08,Dashboard / Notification Projection,Projection/notification authority,Preserve,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M09,Administration / Configuration / Audit,Administrative/configuration authority within underlying domain grants,Preserve + controlled augmentation,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M10,Authorization / RBAC / Permission / Scope / RLS,Authorization authority,Preserve + augment,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M11,SEO / Discovery / Analytics,Public discovery/SEO/measurement layer; not source-domain business authority,Preserve + augment,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M12,Organization / Membership / Context,Organization/membership/context authority,Preserve + current lifecycle,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M13,AI / BYOK / Provider Catalogue,AI/BYOK/provider domain authority,Preserve + controlled configuration,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M14,Commercial / Payment / Entitlement / Quota / Promotion,Commercial/payment/entitlement/quota/promotion authority,Preserve + current commercial decisions,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
M15,Qualification / Evidence / Award,Qualification/Award authority; consumes governed upstream evidence,Preserve + augment,PASS,NONE_IDENTIFIED,Implementation may realize the authority but may not transfer it to another module.
