consumer,producer,dependency_type,domain,authority_owner,condition_or_reason,critical_path,producer_batch,consumer_batch,batch_relation,p5_handling
M02,M01,HARD,Identity,M01,All authenticated profile actors,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M01,HARD,Identity,M01,Listing actor/owner,Yes,B01,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M04,M01,HARD,Identity,M01,Learning/session actor,Yes,B01,B05,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M05,M01,HARD,Identity,M01,Event registration actor,Yes,B01,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M06,M01,HARD,Identity,M01,Developer/claim actor,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M07,M01,HARD,Identity,M01,DBR subject,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M01,HARD,Identity,M01,Dashboard subject,Yes,B01,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M09,M01,HARD,Identity,M01,Admin actor,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M10,M01,HARD,Identity,M01,Authorization subject,Yes,B01,B02,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M12,M01,HARD,Identity,M01,Organization member,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M13,M01,HARD,Identity,M01,BYOK owner,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M14,M01,HARD,Identity,M01,Commercial actor/order ownership,Yes,B01,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M15,M01,HARD,Identity,M01,Award recipient,Yes,B01,B06,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M02,M10,HARD — AUTHORIZATION,Authorization,M10,Profile/review access,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M10,HARD — AUTHORIZATION,Authorization,M10,Listing scope/mutation access,Yes,B02,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
