table,rls_enabled,policy_count,runtime_verification,source
addons,YES,0,NOT_CLAIMED,W4-02 canonical SQL
agent_ai_connections,YES,3,NOT_CLAIMED,W4-02 canonical SQL
agent_profiles,YES,3,NOT_CLAIMED,W4-02 canonical SQL
agent_project_claims,YES,0,NOT_CLAIMED,W4-02 canonical SQL
agent_reviews,YES,1,NOT_CLAIMED,W4-02 canonical SQL
agent_verification_documents,YES,3,NOT_CLAIMED,W4-02 canonical SQL
ai_providers,YES,0,NOT_CLAIMED,W4-02 canonical SQL
amenities,YES,1,NOT_CLAIMED,W4-02 canonical SQL
audit_logs,YES,0,NOT_CLAIMED,W4-02 canonical SQL
award_instances,YES,1,NOT_CLAIMED,W4-02 canonical SQL
award_qualifying_paths,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_condition_groups,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_conditions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_path_rules,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_path_versions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_paths,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_prerequisites,YES,1,NOT_CLAIMED,W4-02 canonical SQL
awarding_rule_versions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
certificates,YES,1,NOT_CLAIMED,W4-02 canonical SQL
commercial_entitlements,YES,1,NOT_CLAIMED,W4-02 canonical SQL
commercial_fulfillments,YES,1,NOT_CLAIMED,W4-02 canonical SQL
commercial_orders,YES,1,NOT_CLAIMED,W4-02 canonical SQL
course_lessons,YES,1,NOT_CLAIMED,W4-02 canonical SQL
courses,YES,1,NOT_CLAIMED,W4-02 canonical SQL
dbr_config,YES,0,NOT_CLAIMED,W4-02 canonical SQL
dbr_simulations,YES,0,NOT_CLAIMED,W4-02 canonical SQL
developer_partners,YES,1,NOT_CLAIMED,W4-02 canonical SQL
developer_project_media,YES,1,NOT_CLAIMED,W4-02 canonical SQL
developer_projects,YES,1,NOT_CLAIMED,W4-02 canonical SQL
enrollments,YES,3,NOT_CLAIMED,W4-02 canonical SQL
event_registrations,YES,3,NOT_CLAIMED,W4-02 canonical SQL
events,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_activities,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_activity_completions,YES,3,NOT_CLAIMED,W4-02 canonical SQL
learning_path_versions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_paths,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_point_accounts,YES,1,NOT_CLAIMED,W4-02 canonical SQL
