batch_id,module_a,module_b,relationship,rule
B03,M02,M12,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M02,M13,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M02,M06,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M02,M07,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M02,M09,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M02,M14,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M12,M13,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M12,M06,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M12,M07,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M12,M09,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M12,M14,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M13,M06,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M13,M07,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M13,M09,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M13,M14,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M06,M07,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M06,M09,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M06,M14,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M07,M09,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M07,M14,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B03,M09,M14,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B04,M03,M05,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B07,M08,M11,PARALLEL_CANDIDATE,Parallel only where no current P4 HARD edge requires sequencing.
B08,ALL,,SERIAL_FINAL_HARDENING,Follows all prior batches.
