relationship_id,source_entity,target_entity,relationship_type,cardinality,dictionary_fk_columns,physical_fk_status,physical_fk_evidence,reconciliation_status,d_action,notes
R-001,ADDONS,COMMERCIAL_ORDERS,CORE_PRESERVED_FK,1:N,addon_id,PHYSICAL_FK_PRESENT,addon_id→addons.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-002,AI_PROVIDERS,AGENT_AI_CONNECTIONS,CORE_PRESERVED_FK,1:N,provider_id,PHYSICAL_FK_PRESENT,provider_id→ai_providers.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-003,AMENITIES,LISTING_AMENITIES,CORE_PRESERVED_FK,1:N,amenity_id,PHYSICAL_FK_PRESENT,amenity_id→amenities.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-004,AWARD_INSTANCES,AWARD_QUALIFYING_PATHS,CORE_PRESERVED_FK,1:N,award_instance_id,PHYSICAL_FK_PRESENT,award_instance_id→award_instances.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-005,AWARDING_CONDITION_GROUPS,AWARDING_CONDITIONS,CORE_PRESERVED_FK,1:N,condition_group_id,PHYSICAL_FK_PRESENT,condition_group_id→awarding_condition_groups.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-006,AWARDING_PATH_VERSIONS,AWARD_INSTANCES,CORE_PRESERVED_FK,1:N,awarding_path_version_id,PHYSICAL_FK_PRESENT,awarding_path_version_id→awarding_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-007,AWARDING_PATH_VERSIONS,AWARD_QUALIFYING_PATHS,CORE_PRESERVED_FK,1:N,awarding_path_version_id,PHYSICAL_FK_PRESENT,awarding_path_version_id→awarding_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-008,AWARDING_PATH_VERSIONS,AWARDING_PATH_RULES,CORE_PRESERVED_FK,1:N,awarding_path_version_id,PHYSICAL_FK_PRESENT,awarding_path_version_id→awarding_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-009,AWARDING_PATH_VERSIONS,AWARDING_PREREQUISITES,CORE_PRESERVED_FK,1:N,awarding_path_version_id,PHYSICAL_FK_PRESENT,awarding_path_version_id→awarding_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-010,AWARDING_PATH_VERSIONS,QUALIFICATION_EVALUATIONS,CORE_PRESERVED_FK,1:N,awarding_path_version_id,PHYSICAL_FK_PRESENT,awarding_path_version_id→awarding_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-011,AWARDING_PATHS,AWARDING_PATH_VERSIONS,CORE_PRESERVED_FK,1:N,awarding_path_id,PHYSICAL_FK_PRESENT,awarding_path_id→awarding_paths.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-012,AWARDING_RULE_VERSIONS,AWARD_INSTANCES,CORE_PRESERVED_FK,1:N,awarding_rule_version_id,PHYSICAL_FK_PRESENT,awarding_rule_version_id→awarding_rule_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-013,AWARDING_RULE_VERSIONS,AWARDING_CONDITION_GROUPS,CORE_PRESERVED_FK,1:N,awarding_rule_version_id,PHYSICAL_FK_PRESENT,awarding_rule_version_id→awarding_rule_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-014,AWARDING_RULE_VERSIONS,AWARDING_PATH_RULES,CORE_PRESERVED_FK,1:N,awarding_rule_version_id,PHYSICAL_FK_PRESENT,awarding_rule_version_id→awarding_rule_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-015,AWARDING_RULE_VERSIONS,QUALIFICATION_EVALUATIONS,CORE_PRESERVED_FK,1:N,awarding_rule_version_id,PHYSICAL_FK_PRESENT,awarding_rule_version_id→awarding_rule_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-016,COMMERCIAL_ENTITLEMENTS,QUOTA_CAPACITIES,CORE_PRESERVED_FK,1:N,entitlement_id,PHYSICAL_FK_PRESENT,entitlement_id→commercial_entitlements.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-017,COMMERCIAL_ENTITLEMENTS,RECONCILIATION_CASES,CORE_PRESERVED_FK,1:N,entitlement_id,PHYSICAL_FK_PRESENT,entitlement_id→commercial_entitlements.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-018,COMMERCIAL_FULFILLMENTS,COMMERCIAL_ENTITLEMENTS,CORE_PRESERVED_FK,1:N,source_fulfillment_id,PHYSICAL_FK_PRESENT,source_fulfillment_id→commercial_fulfillments.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-019,COMMERCIAL_FULFILLMENTS,RECONCILIATION_CASES,CORE_PRESERVED_FK,1:N,fulfillment_id,PHYSICAL_FK_PRESENT,fulfillment_id→commercial_fulfillments.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-020,COMMERCIAL_ORDERS,COMMERCIAL_ENTITLEMENTS,CORE_PRESERVED_FK,1:N,source_order_id,PHYSICAL_FK_PRESENT,source_order_id→commercial_orders.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-021,COMMERCIAL_ORDERS,COMMERCIAL_FULFILLMENTS,CORE_PRESERVED_FK,1:N,commercial_order_id,PHYSICAL_FK_PRESENT,commercial_order_id→commercial_orders.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-022,COMMERCIAL_ORDERS,PAYMENT_TRANSACTIONS,CORE_PRESERVED_FK,1:N,commercial_order_id,PHYSICAL_FK_PRESENT,commercial_order_id→commercial_orders.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-023,COMMERCIAL_ORDERS,RECONCILIATION_CASES,CORE_PRESERVED_FK,1:N,commercial_order_id,PHYSICAL_FK_PRESENT,commercial_order_id→commercial_orders.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-024,COURSES,CERTIFICATES,CORE_PRESERVED_FK,1:N,course_id,PHYSICAL_FK_PRESENT,course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-025,COURSES,COURSE_LESSONS,CORE_PRESERVED_FK,1:N,course_id,PHYSICAL_FK_PRESENT,course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-026,COURSES,COURSES,CORE_PRESERVED_FK,1:N,prerequisite_course_id,PHYSICAL_FK_PRESENT,prerequisite_course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-027,COURSES,ENROLLMENTS,CORE_PRESERVED_FK,1:N,course_id,PHYSICAL_FK_PRESENT,course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-028,COURSES,EVENTS,CORE_PRESERVED_FK,1:N,related_course_id,PHYSICAL_FK_PRESENT,related_course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-029,COURSES,LEARNING_PATHS,CORE_PRESERVED_FK,1:N,course_id,PHYSICAL_FK_PRESENT,course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-030,COURSES,LEARNING_SESSIONS,CORE_PRESERVED_FK,1:N,course_id,PHYSICAL_FK_PRESENT,course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-031,COURSES,QUIZZES,CORE_PRESERVED_FK,1:N,course_id,PHYSICAL_FK_PRESENT,course_id→courses.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
