sync_id,finding_id,module,step04_classification,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,merge_decision,delta_status,semantic_delta_or_resolution,decision_basis,exact_scope_if_reconcile,preservation_instruction,core_mutation_status,provenance_retained,replacement_deletion_control,dependency,dependency_statement,module_authority_artifact,dup_key,canonical_merge_unit,core_baseline_sha256,core_detail_retained,mxx_valid_detail_retained,approved_conflict_update_applied,unrelated_core_detail_retained,duplicate_consolidated,whole_artifact_replacement,whole_rule_replacement,silent_deletion,provenance_complete
STEP04-0001,M01-CI-001,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,User / Identity View-Update,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,cam110034|useridentityviewupdate,CANON-CAM11-0034,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0002,M01-CI-002,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,OTP / authentication lifecycle,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,cam110034|otpauthenticationlifecycle,CANON-CAM11-0034,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0003,M01-CI-003,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,Verification Document Create,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,cam110034|verificationdocumentcreate,CANON-CAM11-0034,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0004,M01-CI-004,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,Verification Document View,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,26engineeringalignmentw402a630engineeringalignmentguidebookplaybookv21md|verificationdocumentview,CANON-CAM11-0066,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0005,M01-CI-005,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,Verification Document Review,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,26engineeringalignmentw402a630engineeringalignmentguidebookplaybookv21md|verificationdocumentreview,CANON-CAM11-0066,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0006,M01-CI-006,M01,PRESERVE,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# RUMAHAGEN — FUNCTIONAL SPECIFICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,Agent auto-activation,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,14functionalw402a618functionalspecificationcurrentfunctionalimplementationcontractv21md|agentautoactivation,CANON-CAM11-0034,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0007,M01-CI-007,M01,AUGMENT,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,ABSORB_ADDITIVE_DETAIL,DELTA_ABSORBED,Conditional KTP eligibility,STEP04 classification AUGMENT; validated module detail is additive and must not replace existing Core detail.,,Existing Core detail preserved; no replacement/deletion.,SEPARATE_CANDIDATE_DELTA_ONLY,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,26engineeringalignmentw402a630engineeringalignmentguidebookplaybookv21md|conditionalktpeligibility,CANON-CAM11-0066,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,YES,YES,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0008,M01-CI-008,M01,PRESERVE,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,# RUMAHAGEN — REVISED MODULE PLANNING,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,KTP DEFERRED / ISI NANTI,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,20moduleplanningw402a624revisedmoduleplanningcurrentmoduledeliveryplanningv21md|ktpdeferredisinanti,CANON-CAM11-0040,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0009,M01-CI-009,M01,RECONCILE,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,# RUMAHAGEN — MODULE IMPLEMENTATION STRATEGY,CORE IMPLEMENTATION STRATEGY AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,APPLY_STEP05_RESOLUTION,RESOLVED_DELTA_ABSORBED,PENDING_REVIEW is not an account-activation gate; OTP VERIFIED → ACCOUNT ACTIVE; KTP optional; ISI NANTI → KTP DEFERRED/NOT_PROVIDED while account remains ACTIVE.,STEP05 FINAL v1.1 resolved M01-CI-009; exact reconciliation scope applied without global deletion/replacement.,Only M01 Agent account activation / KTP-at-activation path. Do not globally delete PENDING_REVIEW; preserve other legitimate lifecycle uses.,"All unrelated registration, authentication, KTP privacy/compliance, rejection/audit, and non-M01 lifecycle detail.",SEPARATE_CANDIDATE_DELTA_ONLY,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,19implementationstrategyw402a623moduleimplementationstrategyintegratedimplementationsequencingv21md|pendingreviewisnotanaccountactivationgateotpverifiedaccountactivektpoptionalisinantiktpdeferrednotprovidedwhileaccountremainsactive,CANON-CAM11-0039,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,YES,YES,YES,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
STEP04-0010,M01-CI-010,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,NO_SEMANTIC_DELTA_ABSORBED,Identity → authorization M10,STEP04 classification PRESERVE; no new semantic propagation required.,,Existing Core detail preserved; no replacement/deletion.,UNCHANGED,YES,NO_SILENT_REPLACEMENT; NO_SILENT_DELETION,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,26engineeringalignmentw402a630engineeringalignmentguidebookplaybookv21md|identityauthorizationm10,CANON-CAM11-0066,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,YES,N/A,N/A,YES,YES — if semantic identity overlaps; no duplicate canonical object,NO,NO,NO,YES
