obligation_id,module,source_scope,finding,classification,p3_work_package,core_package,handling,p5_batch_id,p5_execution_status,p5_gate,evidence_requirement,p7_execution_wp,p7_gate,p7_core_scope_rows
P3-OBL-030,M08,M08 Core Impact,M08 remains projection/notification-only and cannot manufacture or mutate source business outcomes.,PRESERVE,M08-WP01/04,IP-11,No mutation authority.,B07,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M08-WP01/04,Module batch gate + B08 final reconciliation,18
P3-OBL-031,M08,M08 Core Impact,Source event/status contracts must precede projection behavior; M08 must not block core source domains.,PRESERVE,M08-WP03,IP-11,Downstream planning.,B07,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M08-WP03,Module batch gate + B08 final reconciliation,18
P3-OBL-032,M09,M09 Core Impact,M09 admin/config/audit remains bounded; domain modules retain business authority.,PRESERVE,M09-WP01/02/04,IP-12,No authority inversion.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M09-WP01/02/04,Module batch gate + B08 final reconciliation,6
P3-OBL-033,M09,M09 Core Impact,Static Public Content and Announcement/Promotion lifecycle/configuration are explicitly represented in M09 planning where M09/applicable domain owns lifecycle.,AUGMENT,M09-WP03,IP-12/IP-13,Ensure public content lifecycle is not omitted.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M09-WP03,Module batch gate + B08 final reconciliation,6
P3-OBL-034,M09,M09 Core Impact,system_configs semantic view/manage is Superadmin-only; broader physical SELECT is a downstream M10/RLS hardening item.,CONTROLLED,M09-WP04,IP-01/IP-12,Do not claim physical correction in P3.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M09-WP04,Module batch gate + B08 final reconciliation,6
P3-OBL-035,M09,M09 Core Impact,M09 must not become a universal prerequisite; only affected domain paths block on relevant configuration/moderation/reconciliation.,PRESERVE,M09-WP02,IP-12,Keep conditional dependency.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M09-WP02,Module batch gate + B08 final reconciliation,6
P3-OBL-036,M10,M10 Core Impact,"Role = actor grouping; Role Permission = baseline; Permission Preset = configurable target of an existing role, never a new role/outside baseline.",PRESERVE,M10-WP01/02,IP-01,Locked governance.,B02,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M10-WP01/02,Module batch gate + B08 final reconciliation,17
P3-OBL-037,M10,M10 Core Impact,M10 remains authorization/RBAC/Scope/RLS authority; exact physical permission IDs remain controlled/open where evidence absent.,CONTROLLED,M10-WP03/04,IP-01,No invented IDs.,B02,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M10-WP03/04,Module batch gate + B08 final reconciliation,17
P3-OBL-038,M10,M10 Core Impact,Condition/ownership/organization graph must remain explicit without transferring domain business authority.,PRESERVE,M10-WP03,IP-01/IP-02,Cross-domain authorization graph.,B02,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M10-WP03,Module batch gate + B08 final reconciliation,17
P3-OBL-039,M11,M11 Core Impact,"M11 public surface registry must include ten mandatory surfaces, including Static Public Content and Announcement/Promotion.",AUGMENT,M11-WP01,IP-13,Explicit ten-surface registry.,B07,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M11-WP01,Module batch gate + B08 final reconciliation,10
P3-OBL-040,M11,M11 Core Impact,"M11 exposes SEO, public discovery, tracking and measurement; it does not own lifecycle/business outcomes.",PRESERVE,M11-WP02/04,IP-13,Observation/discovery boundary.,B07,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M11-WP02/04,Module batch gate + B08 final reconciliation,10
P3-OBL-041,M11,M11 Core Impact,Public/private indexing must follow authoritative domain visibility; private/protected resources excluded.,PRESERVE,M11-WP02,IP-13,No public-data leakage.,B07,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M11-WP02,Module batch gate + B08 final reconciliation,10
P3-OBL-042,M11,M11 Core Impact,Static Public Content and Announcement/Promotion must propagate through discovery/measurement without transferring lifecycle authority to M11.,RECONCILE,M11-WP01/04,IP-12/IP-13,M09/domain lifecycle → M11 discovery.,B07,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M11-WP01/04,Module batch gate + B08 final reconciliation,10
P3-OBL-043,M12,M12 Core Impact,"Organization Public Content ownership wording must preserve M12 context/ownership, M09 applicable admin/config, M11 discovery.",RECONCILE,M12-WP01/04,IP-02/IP-12/IP-13,Controlled boundary.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M12-WP01/04,Module batch gate + B08 final reconciliation,10
P3-OBL-044,M12,M12 Core Impact,Physical ORG-ADMIN label must not create a new platform Organization Admin role.,CONTROLLED,M12-WP04,IP-01/IP-02,Downstream auth mapping.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M12-WP04,Module batch gate + B08 final reconciliation,10
P3-OBL-045,M12,M12 Core Impact,Lead Exit → CLOSING → CLOSED; no Lead Transfer/successor/privilege inheritance.,PRESERVE,M12-WP01,IP-02,Lifecycle invariant.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M12-WP01,Module batch gate + B08 final reconciliation,10
