table,column_count,primary_key_declarations,foreign_key_count,unique_declarations,check_declarations,rls_enabled,policy_count,physical_status
ai_providers,9,1,0,1,2,YES,0,CURRENT_W4-02_BASELINE
amenities,2,1,0,1,0,YES,1,CURRENT_W4-02_BASELINE
permissions,5,1,0,1,1,YES,0,CURRENT_W4-02_BASELINE
ref_provinces,3,1,0,1,0,YES,1,CURRENT_W4-02_BASELINE
roles,7,1,0,1,0,YES,0,CURRENT_W4-02_BASELINE
url_redirects,8,1,0,1,2,YES,0,CURRENT_W4-02_BASELINE
ref_cities,5,1,1,1,1,YES,1,CURRENT_W4-02_BASELINE
role_permissions,7,1,2,1,1,YES,0,CURRENT_W4-02_BASELINE
users,11,1,1,2,1,YES,3,CURRENT_W4-02_BASELINE
agent_ai_connections,9,1,2,0,1,YES,3,CURRENT_W4-02_BASELINE
agent_profiles,17,1,1,2,1,YES,3,CURRENT_W4-02_BASELINE
agent_reviews,12,1,3,0,2,YES,1,CURRENT_W4-02_BASELINE
agent_verification_documents,9,1,2,0,2,YES,3,CURRENT_W4-02_BASELINE
courses,11,1,2,0,2,YES,1,CURRENT_W4-02_BASELINE
dbr_config,5,1,1,0,0,YES,0,CURRENT_W4-02_BASELINE
developer_partners,8,1,1,0,1,YES,1,CURRENT_W4-02_BASELINE
notifications,9,1,1,0,1,YES,3,CURRENT_W4-02_BASELINE
organizations,16,1,1,1,2,YES,0,CURRENT_W4-02_BASELINE
ref_districts,4,1,1,1,0,YES,1,CURRENT_W4-02_BASELINE
system_configs,5,1,1,1,0,YES,0,CURRENT_W4-02_BASELINE
audit_logs,9,1,2,0,0,YES,0,CURRENT_W4-02_BASELINE
certificates,5,1,2,1,0,YES,1,CURRENT_W4-02_BASELINE
course_lessons,6,1,1,0,1,YES,1,CURRENT_W4-02_BASELINE
developer_projects,17,1,2,1,2,YES,1,CURRENT_W4-02_BASELINE
enrollments,7,1,2,1,1,YES,3,CURRENT_W4-02_BASELINE
organization_invitations,9,1,3,0,2,YES,0,CURRENT_W4-02_BASELINE
organization_members,7,1,2,0,2,YES,1,CURRENT_W4-02_BASELINE
quizzes,3,1,1,0,0,YES,1,CURRENT_W4-02_BASELINE
ref_villages,5,1,1,1,0,YES,1,CURRENT_W4-02_BASELINE
agent_project_claims,4,1,2,1,0,YES,0,CURRENT_W4-02_BASELINE
developer_project_media,4,1,1,0,1,YES,1,CURRENT_W4-02_BASELINE
events,18,1,3,0,2,YES,1,CURRENT_W4-02_BASELINE
listings,48,1,6,1,10,YES,3,CURRENT_W4-02_BASELINE
quiz_attempts,6,1,2,0,0,YES,3,CURRENT_W4-02_BASELINE
quiz_questions,4,1,1,0,1,YES,1,CURRENT_W4-02_BASELINE
dbr_simulations,17,1,2,0,1,YES,0,CURRENT_W4-02_BASELINE
event_registrations,5,1,2,1,1,YES,3,CURRENT_W4-02_BASELINE
listing_amenities,2,1,2,0,0,YES,3,CURRENT_W4-02_BASELINE
listing_leads,7,1,2,0,0,YES,1,CURRENT_W4-02_BASELINE
listing_photos,8,1,1,0,0,YES,3,CURRENT_W4-02_BASELINE
listing_price_history,5,1,1,0,0,YES,1,CURRENT_W4-02_BASELINE
listing_videos,4,1,1,0,1,YES,3,CURRENT_W4-02_BASELINE
listing_views,3,1,1,0,0,YES,1,CURRENT_W4-02_BASELINE
quiz_options,4,1,1,0,0,YES,1,CURRENT_W4-02_BASELINE
learning_sessions,13,1,4,0,4,YES,1,CURRENT_W4-02_BASELINE
learning_session_assignments,9,1,4,0,4,YES,1,CURRENT_W4-02_BASELINE
session_artifacts,8,1,1,0,1,YES,4,CURRENT_W4-02_BASELINE
session_enrollments,10,1,2,0,3,YES,4,CURRENT_W4-02_BASELINE
session_provider_bindings,9,1,1,0,2,YES,1,CURRENT_W4-02_BASELINE
session_participation_evidence,10,1,2,1,1,YES,4,CURRENT_W4-02_BASELINE
session_attendance_evaluations,7,1,2,0,0,YES,1,CURRENT_W4-02_BASELINE
session_completion_outcomes,7,1,2,0,0,YES,2,CURRENT_W4-02_BASELINE
learning_paths,8,1,1,1,1,YES,1,CURRENT_W4-02_BASELINE
learning_path_versions,9,1,1,1,3,YES,1,CURRENT_W4-02_BASELINE
learning_activities,12,1,1,1,4,YES,1,CURRENT_W4-02_BASELINE
learning_activity_completions,10,1,2,1,3,YES,3,CURRENT_W4-02_BASELINE
learning_point_accounts,6,1,1,2,2,YES,1,CURRENT_W4-02_BASELINE
learning_point_transactions,10,1,2,1,2,YES,1,CURRENT_W4-02_BASELINE
learning_unlock_progressions,10,1,2,1,4,YES,3,CURRENT_W4-02_BASELINE
subscriptions,11,1,2,0,4,YES,1,CURRENT_W4-02_BASELINE
promotions,11,1,0,1,2,YES,0,CURRENT_W4-02_BASELINE
addons,12,1,1,1,3,YES,0,CURRENT_W4-02_BASELINE
commercial_orders,15,1,5,1,4,YES,1,CURRENT_W4-02_BASELINE
payment_transactions,13,1,1,2,6,YES,1,CURRENT_W4-02_BASELINE
payment_provider_results,11,1,1,2,0,YES,0,CURRENT_W4-02_BASELINE
commercial_fulfillments,11,1,2,2,4,YES,1,CURRENT_W4-02_BASELINE
commercial_entitlements,14,1,5,0,3,YES,1,CURRENT_W4-02_BASELINE
quota_capacities,10,1,1,0,4,YES,0,CURRENT_W4-02_BASELINE
operational_quota_pools,8,1,3,0,3,YES,0,CURRENT_W4-02_BASELINE
quota_allocations,10,1,3,0,3,YES,1,CURRENT_W4-02_BASELINE
quota_usage,9,1,2,1,1,YES,1,CURRENT_W4-02_BASELINE
reconciliation_cases,14,1,4,1,1,YES,1,CURRENT_W4-02_BASELINE
title_definitions,7,1,0,1,1,YES,1,CURRENT_W4-02_BASELINE
title_authority_scopes,6,1,1,1,1,YES,1,CURRENT_W4-02_BASELINE
awarding_paths,7,1,1,1,1,YES,1,CURRENT_W4-02_BASELINE
awarding_path_versions,9,1,1,1,3,YES,1,CURRENT_W4-02_BASELINE
awarding_rule_versions,9,1,0,1,3,YES,1,CURRENT_W4-02_BASELINE
awarding_path_rules,4,1,2,1,0,YES,1,CURRENT_W4-02_BASELINE
awarding_condition_groups,5,1,1,0,2,YES,1,CURRENT_W4-02_BASELINE
awarding_conditions,7,1,1,0,1,YES,1,CURRENT_W4-02_BASELINE
awarding_prerequisites,7,1,1,0,1,YES,1,CURRENT_W4-02_BASELINE
qualification_evidence,9,1,1,0,0,YES,3,CURRENT_W4-02_BASELINE
qualification_evaluations,10,1,3,0,1,YES,1,CURRENT_W4-02_BASELINE
award_instances,14,1,5,0,6,YES,1,CURRENT_W4-02_BASELINE
award_qualifying_paths,6,1,3,1,0,YES,1,CURRENT_W4-02_BASELINE
title_presentations,8,1,2,0,1,YES,3,CURRENT_W4-02_BASELINE
