source,path,role,sha256
M01-M15 latest recon,/mnt/data/M01-M15 new recon(20260904-013253).zip,CURRENT MODULE SOURCE,91354375da7c57257a7c4ef7da0aae3e26fc832f424d55d78dde8956dc7a54d7
Core v1.3 source pack,/mnt/data/Utama core RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.3(9)_GOVERNANCE_CORRECTED_STEP0_RESIDUAL_FIXED(20260904-005822).zip,IMMUTABLE CORE,7c491ce312a42f7d4debd77a4533a895dd35a71ad7464053c0bfe61639ba72e6
PRE-00 gate,/mnt/data/pre-00 gate(20260904-005822).zip,GOVERNANCE GATE,f241d2cc281168a25767d938b954c3fd84ab9e51dbfeb072116449f2507b8751
STEP10-A2 exception register,/mnt/data/STEP10-A2_ERD_EXCEPTION_CONFLICT_REGISTER_v2.0.csv,PRIOR STEP10 INPUT,50e2ee7fdeb96f9dc4032b50133af3922f510a9aa6a848ba4d80d13b5eda0907
STEP10-A2 validation matrix,/mnt/data/STEP10-A2_ERD_VALIDATION_MATRIX_v2.0.csv,PRIOR STEP10 INPUT,4cf24beac1167ce0886973c407bf25ea9b4edd9a4ea2a6a44dbdf2720d4fddf4
STEP10-A2 reconciliation,/mnt/data/STEP10-A2_LOGICAL_ERD_VALIDATION_RECONCILIATION_v2.0.md,PRIOR STEP10 INPUT,30770060166ed8b6f9b9730fc29330371e15cb6d6615d70424685c4d99e62995
STEP10-A1 prior MMD,/mnt/data/STEP10-A1_FULL_LOGICAL_ERD_OPTION_A_FULL_v2.0.mmd,SUPERSEDED BASELINE,f004336eea6470325fb9a75982d0f63ac341fe9b567ce6ca711f0ebaafd224ee
STEP10-A1 prior rebuild,/mnt/data/STEP10-A1_FULL_LOGICAL_ERD_REBUILD_v2.0.md,SUPERSEDED BASELINE,9b43fd3649119686eba8fc894da92de74efab56754a59106876ef4d5fd120095
STEP10-A0-R1 mapping,/mnt/data/STEP10-A0-R1_ENTITY_MAPPING_FINAL_MATRIX_v1.0.csv,PRIOR STEP10 INPUT,c42a8f11bbfd0f3e8c8b6a63dfedfae058586bf22aa4dff0dd4dba70a7b15bad
STEP10-A0-R1 closure,/mnt/data/STEP10-A0-R1_CONTROLLED_ENTITY_GAP_CLOSURE_v1.0.md,PRIOR STEP10 INPUT,1ef56ac3411a2b06056615c3e8ff4dd35494e7dffce97681e9ef968c2fbe9f9a
STEP10-A0 re-audit CSV,/mnt/data/STEP10-A0_ENTITY_MAPPING_M01-M15_REAUDIT_FULL_DEEP_SCAN_v1.1.csv,PRIOR STEP10 INPUT,ed8623f9b128264c121f841105a11dd664396e502a8eb56d2958a5d74538a2e7
STEP10-A0 re-audit MD,/mnt/data/STEP10-A0_ENTITY_MAPPING_REAUDIT_FULL_DEEP_SCAN_v1.1.md,PRIOR STEP10 INPUT,45987a25c77c7fc977e63dff6a93b96916135b6047b2adfef6769fa55f096ead
