artifact,size_bytes,sha256
RUMAHAGEN_M01-M15_RECON_TO_CORE_GOVERNANCE_CHECKLIST_v1.5_STEP10_RENUMBERED.docx,50247,0c4f690063ab7543885ae0d022f2a2827cb0f8bf259d0d509b6dd7022841df64
STEP10-A0-R1_CONTROLLED_ENTITY_GAP_CLOSURE_v1.0(1).md,18828,1ef56ac3411a2b06056615c3e8ff4dd35494e7dffce97681e9ef968c2fbe9f9a
STEP10-00_RERUN-01_INPUT_DEEP_SCAN_CURRENTNESS_AUTHORITY_GATE_v1.0(1).md,9445,3bc2ad5defa73d1d038b632fc0b3f9f6d448c3c1997b1b109d85ce6d3dfaeb83
STEP10-A0-R1_ENTITY_MAPPING_FINAL_MATRIX_v1.0(1).csv,3949,c42a8f11bbfd0f3e8c8b6a63dfedfae058586bf22aa4dff0dd4dba70a7b15bad
STEP10-B_FULL_DATABASE_DICTIONARY_RERUN_v2.1_FULL_VERSION.zip,44848,42085152b01305253ec9353cbee637b1241775441d2b57a1a35c37dffaf76e02
STEP10-A2_RERUN_v2.1_FULL_VERSION.zip,5804,1918c5cb31cf12796c58c0bbeb2342710fda74f8d9e7e4a44c853a49e07e2219
STEP10-A1_FULL_LOGICAL_ERD_RERUN_v2.1_FULL_VERSION.zip,28974,a231b4c99b6f97f35926704391bde4b154e2eb4b549200cc77e62b381bce9389
STEP SYNC CORE(1).zip,69738009,38fac4eeeeb804eceff6c21b6a62eb029d4027d430e5c272b9cc40f630a9222b
M01-M15 new recon(20260904-013253).zip,12682315,91354375da7c57257a7c4ef7da0aae3e26fc832f424d55d78dde8956dc7a54d7
Nested frozen Core v1.3 package (inside STEP SYNC CORE),1471646,7c491ce312a42f7d4debd77a4533a895dd35a71ad7464053c0bfe61639ba72e6
Nested W4-01E canonical table register,8023,d3c8386f3cb4a694c51833b50a1114c102f0bfad1e8bf62e188075c463a6308d
