relationship_id,source_entity,target_entity,source_module,target_module,relationship_type,cardinality,optional_target_reference,basis,fk_columns,authority,notes,reconciliation_status,reconciliation_note,reconciliation_basis
R-001,ADDONS,COMMERCIAL_ORDERS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,addon_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-002,AI_PROVIDERS,AGENT_AI_CONNECTIONS,M13,M13,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,provider_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-003,AMENITIES,LISTING_AMENITIES,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,amenity_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-004,AWARD_INSTANCES,AWARD_QUALIFYING_PATHS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,award_instance_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-005,AWARDING_CONDITION_GROUPS,AWARDING_CONDITIONS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,condition_group_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-006,AWARDING_PATH_VERSIONS,AWARD_INSTANCES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-007,AWARDING_PATH_VERSIONS,AWARD_QUALIFYING_PATHS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-008,AWARDING_PATH_VERSIONS,AWARDING_PATH_RULES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-009,AWARDING_PATH_VERSIONS,AWARDING_PREREQUISITES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-010,AWARDING_PATH_VERSIONS,QUALIFICATION_EVALUATIONS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-011,AWARDING_PATHS,AWARDING_PATH_VERSIONS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_path_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-012,AWARDING_RULE_VERSIONS,AWARD_INSTANCES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-013,AWARDING_RULE_VERSIONS,AWARDING_CONDITION_GROUPS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-014,AWARDING_RULE_VERSIONS,AWARDING_PATH_RULES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
