module,finding_count,module_authority_artifacts,core_target_authority_owners,authority_result,audit_basis,status,v1.1_authority_check,mxx_authority_is_domain_scoped,authority_not_whole_artifact_replacement,unrelated_core_detail_protected,authority_inversion_detected
M01,14,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,CORE ARCHITECTURE; CORE ENGINEERING ALIGNMENT AUTHORITY; CORE FUNCTIONAL CONTRACT AUTHORITY; CORE IMPLEMENTATION STRATEGY AUTHORITY; CORE MODULE PLANNING AUTHORITY; M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M02,17,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,CORE ARCHITECTURE; CORE ENGINEERING ALIGNMENT AUTHORITY; CORE FUNCTIONAL CONTRACT AUTHORITY; CORE MODULE PLANNING AUTHORITY; CORE TECHNICAL CONTRACT AUTHORITY; M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY; M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M03,21,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY; CORE API CONTRACT AUTHORITY; CORE ARCHITECTURE; CORE ENGINEERING ALIGNMENT AUTHORITY; CORE IMPLEMENTATION STRATEGY AUTHORITY; CORE MODULE PLANNING AUTHORITY; M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY; M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M04,17,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,CORE ARCHITECTURE; CORE RECONCILIATION EVIDENCE AUTHORITY; M10 AUTHORIZATION AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M05,10,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION/18_M05_FULL_REBUILD_CONTROLLED_v1.3.docx,CORE PRODUCT REQUIREMENTS AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M06,18,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION/07_M06_FULL_REBUILD_CONTROLLED_v1.5.md,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY; CORE ARCHITECTURE; CORE FUNCTIONAL CONTRACT AUTHORITY; CORE INTERFACE BEHAVIOR AUTHORITY; CORE LOGICAL DATA MODEL AUTHORITY; M10 AUTHORIZATION AUTHORITY; W4-01E / W4-02 PHYSICAL AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M07,19,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/00_M07_FULL_REBUILD_CONTROLLED_v1.1.md,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY; CORE API CONTRACT AUTHORITY; CORE ARCHITECTURE; CORE CROSS-MODULE DEPENDENCY CONTRACT; CORE EXECUTION SPECIFICATION AUTHORITY; CORE TECHNICAL CONTRACT AUTHORITY; M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY; W4-01E / W4-02 PHYSICAL AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M08,18,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0/00_README_M08_CONTROLLED_v1.0.md,CORE API CONTRACT AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M09,6,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/README_M09_FULL_REBUILD_CONTROLLED_v1.1.md,CORE API CONTRACT AUTHORITY; CORE ARCHITECTURE; CORE EXECUTION SPECIFICATION AUTHORITY; CORE RECONCILIATION EVIDENCE AUTHORITY; M10 AUTHORIZATION AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M10,17,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,CORE LOGICAL DATA MODEL AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M11,10,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,CORE PRODUCT REQUIREMENTS AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M12,10,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0/RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.md,CORE PRODUCT REQUIREMENTS AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M13,4,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0/RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.md,CORE PRODUCT REQUIREMENTS AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M14,20,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION/RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.md,CORE PRODUCT REQUIREMENTS AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
M15,22,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION/RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.md,CORE PRODUCT REQUIREMENTS AUTHORITY,PRESERVED,STEP06 merge cannot transfer semantic authority; target Core detail does not override module authority.,PASS,PASS,YES,YES,YES,NO
