module,layer,contract_id,p4_scope,boundary
M01,Business Rules,M01-P4-L01,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,Architecture/Dependency,M01-P4-L02,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,Data,M01-P4-L03,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,API,M01-P4-L04,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,RBAC/RLS,M01-P4-L05,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,Functional/User Flow,M01-P4-L06,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,Technical,M01-P4-L07,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,UI/UX,M01-P4-L08,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M01,SEO/Analytics,M01-P4-L09,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,Business Rules,M02-P4-L01,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,Architecture/Dependency,M02-P4-L02,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,Data,M02-P4-L03,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,API,M02-P4-L04,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,RBAC/RLS,M02-P4-L05,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,Functional/User Flow,M02-P4-L06,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,Technical,M02-P4-L07,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,UI/UX,M02-P4-L08,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M02,SEO/Analytics,M02-P4-L09,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,Business Rules,M03-P4-L01,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,Architecture/Dependency,M03-P4-L02,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,Data,M03-P4-L03,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,API,M03-P4-L04,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,RBAC/RLS,M03-P4-L05,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,Functional/User Flow,M03-P4-L06,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,Technical,M03-P4-L07,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,UI/UX,M03-P4-L08,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M03,SEO/Analytics,M03-P4-L09,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,Business Rules,M04-P4-L01,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,Architecture/Dependency,M04-P4-L02,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,Data,M04-P4-L03,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,API,M04-P4-L04,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,RBAC/RLS,M04-P4-L05,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,Functional/User Flow,M04-P4-L06,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,Technical,M04-P4-L07,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,UI/UX,M04-P4-L08,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M04,SEO/Analytics,M04-P4-L09,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,Business Rules,M05-P4-L01,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,Architecture/Dependency,M05-P4-L02,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,Data,M05-P4-L03,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,API,M05-P4-L04,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,RBAC/RLS,M05-P4-L05,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,Functional/User Flow,M05-P4-L06,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,Technical,M05-P4-L07,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,UI/UX,M05-P4-L08,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M05,SEO/Analytics,M05-P4-L09,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M06,Business Rules,M06-P4-L01,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M06,Architecture/Dependency,M06-P4-L02,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M06,Data,M06-P4-L03,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M06,API,M06-P4-L04,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
M06,RBAC/RLS,M06-P4-L05,CONTRACT + VALIDATION + EVIDENCE,P4 only; physical/runtime downstream
