obligation_id,module,source_scope,finding,classification,p3_work_package,core_package,handling,p5_batch_id,p5_execution_status,p5_gate,evidence_requirement,p6_focus_status,p6_execution_rule,p6_focus_status,p6_execution_rule
P3-OBL-001,M01,M01 Core Impact,OTP-successful Agent activation must not retain a default Pending Review/approval gate.,RECONCILE,M01-WP02,IP-01,Plan canonical activation path; physical/runtime remains downstream.,B01,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-002,M01,M01 Core Impact,Verification Document Create/View/Review scopes must remain distinct and non-public.,PRESERVE,M01-WP03,IP-01,Carry into authorization/privacy planning.,B01,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-003,M01,M01 Core Impact,"KTP is an eligibility/requirement condition, not an RBAC permission.",PRESERVE,M01-WP02,IP-01,Explicit negative authority rule.,B01,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-004,M01,M01 Core Impact,ISI NANTI → KTP DEFERRED/NOT_PROVIDED → ACCOUNT ACTIVE → HOME path must be represented if absent.,AUGMENT,M01-WP02,IP-01,Planning obligation; no Core mutation.,B01,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-005,M02,M02 Core Impact,"Profile PUBLIC/PRIVATE must be a visibility state, not an RBAC scope.",RECONCILE,M02-WP03,IP-02,Plan visibility/authorization separation.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-006,M02,M02 Core Impact,Public/WhatsApp CTA requires explicit Agent opt-in.,AUGMENT,M02-WP01,IP-02,Carry into profile behavior and discovery planning.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-007,M02,M02 Core Impact,Only Superadmin may administratively override another Agent profile visibility/Public CTA.,PRESERVE,M02-WP04,IP-02,Authorization planning; exact IDs remain evidence-gated.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-008,M02,M02 Core Impact,Reviews auto-approve for publication; Admin moderation is post-publication.,RECONCILE,M02-WP02,IP-02,Remove approval-gate interpretation from planning.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-009,M03,M03 Core Impact,Normal Publish must not use a Pending Review gate or Admin approval gate.,RECONCILE,M03-WP01,IP-04,Direct Publish semantics.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-010,M03,M03 Core Impact,"Suspended is enforcement/ethics state, separate from publication approval.",PRESERVE,M03-WP01,IP-04,Keep lifecycle states distinct.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
