Obligation No.,Module,Classification,P3 Work Package,Core Package,P13_DECISION_CHANGE_LOG Decision ID,Decision Status,P12_RECONCILIATION_EVIDENCE Documentary State
1,M01,RECONCILE,M01-WP02,IP-01,D-M01M15-001,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
2,M01,PRESERVE,M01-WP03,IP-01,D-M01M15-002,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
3,M01,PRESERVE,M01-WP02,IP-01,D-M01M15-003,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
4,M01,AUGMENT,M01-WP02,IP-01,D-M01M15-004,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
5,M02,RECONCILE,M02-WP03,IP-02,D-M01M15-005,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
6,M02,AUGMENT,M02-WP01,IP-02,D-M01M15-006,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
7,M02,PRESERVE,M02-WP04,IP-02,D-M01M15-007,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
8,M02,RECONCILE,M02-WP02,IP-02,D-M01M15-008,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
9,M03,RECONCILE,M03-WP01,IP-04,D-M01M15-009,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
10,M03,PRESERVE,M03-WP01,IP-04,D-M01M15-010,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
11,M03,AUGMENT,M03-WP01,IP-04/IP-13,D-M01M15-011,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
12,M03,PRESERVE,M03-WP02,IP-04/IP-02,D-M01M15-012,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
13,M03,AUGMENT,M03-WP02,IP-04,D-M01M15-013,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
