finding_id,module,core_artifact_id,core_artifact,authority_owner,authority_source_artifact,module_authority_artifact,step04_classification,core_baseline_sha256,step05_resolution,step07_authority_source,step07_status
M01-CI-001,M01,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-002,M01,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-003,M01,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-004,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-005,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-006,M01,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-007,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,AUGMENT,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-008,M01,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-009,M01,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,CORE IMPLEMENTATION STRATEGY AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,RECONCILE,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-010,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
