constraint_id,scope,module,entity_or_table,attribute_or_columns,constraint_type,constraint_definition,status,authority,downstream_action
PHY-0001,PHYSICAL,CORE,ai_providers,id,PK+DEFAULT,id                        UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0002,PHYSICAL,CORE,ai_providers,code,UNIQUE,code                      VARCHAR(50) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0003,PHYSICAL,CORE,ai_providers,billing_type,DEFAULT,billing_type              TEXT NOT NULL DEFAULT 'free_tier_ongoing',PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0004,PHYSICAL,CORE,ai_providers,requires_expiry_warning,DEFAULT,requires_expiry_warning   BOOLEAN NOT NULL DEFAULT false,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0005,PHYSICAL,CORE,ai_providers,status,CHECK+DEFAULT,"status                    TEXT NOT NULL DEFAULT 'active' CHECK (status IN ('active','inactive'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0006,PHYSICAL,CORE,amenities,id,PK+DEFAULT,id    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0007,PHYSICAL,CORE,amenities,name,UNIQUE,name  VARCHAR(100) NOT NULL UNIQUE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0008,PHYSICAL,CORE,permissions,id,PK+DEFAULT,id            UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0009,PHYSICAL,CORE,permissions,scope_type,CHECK+DEFAULT,"scope_type    TEXT NOT NULL DEFAULT 'own' CHECK (scope_type IN ('all','own','none'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0010,PHYSICAL,CORE,ref_provinces,id,PK+DEFAULT,id    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0011,PHYSICAL,CORE,ref_provinces,code,UNIQUE,code  VARCHAR(10) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0012,PHYSICAL,CORE,roles,id,PK+DEFAULT,id                UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0013,PHYSICAL,CORE,roles,code,UNIQUE,code              VARCHAR(50) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0014,PHYSICAL,CORE,roles,is_system_role,DEFAULT,is_system_role    BOOLEAN NOT NULL DEFAULT true,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0015,PHYSICAL,CORE,roles,is_protected,DEFAULT,is_protected      BOOLEAN NOT NULL DEFAULT false,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0016,PHYSICAL,CORE,roles,created_at,DEFAULT,created_at        TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0017,PHYSICAL,CORE,roles,updated_at,DEFAULT,updated_at        TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0018,PHYSICAL,CORE,url_redirects,id,PK+DEFAULT,id              UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0019,PHYSICAL,CORE,url_redirects,old_path,UNIQUE,old_path        VARCHAR(300) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0020,PHYSICAL,CORE,url_redirects,redirect_type,CHECK+DEFAULT,"redirect_type   SMALLINT NOT NULL DEFAULT 301 CHECK (redirect_type IN (301, 302))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0021,PHYSICAL,CORE,url_redirects,reason,CHECK,"reason          TEXT CHECK (reason IN ('slug_changed','listing_deleted','listing_merged','lainnya'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0022,PHYSICAL,CORE,url_redirects,created_at,DEFAULT,created_at      TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0023,PHYSICAL,CORE,ref_cities,id,PK+DEFAULT,id           UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0024,PHYSICAL,CORE,ref_cities,province_id,FK,province_id  UUID NOT NULL REFERENCES ref_provinces(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
