core_package,scope,p3_mapping,status,required_treatment
IP-00,Foundation / Execution Readiness,P3-00/P3-H/P3-J,COVERED,Input/currentness/physical-handoff evidence gate; no runtime claim.
IP-01,Identity + Authorization,M01/M10 + all protected-domain WPs,COVERED + CONTROLLED,"Authorization boundary, Permission Preset, exact-ID evidence gate."
IP-02,Profile + Organization,M02/M12,COVERED,Visibility/context and organization boundary.
IP-03,Developer / Project,M06,COVERED + AUGMENTED,"Company logo/Tentang Developer, media, Marketing Kit, Claim initialization."
IP-04,Listing,M03,COVERED + AUGMENTED,"Publish/edit locks, Refresh action and M14 allowance contract, media derivatives."
IP-05,Event / Calendar,M05,COVERED,Registration/waitlist/late/provider boundary.
IP-06,Learning Core,M04,COVERED + CONTROLLED,"Learning Economy, Partnership Learning, evidence production."
IP-07,Commercial / Payment,M14,COVERED + AUGMENTED,"Snapshot, payment verification, fulfillment, quota, Refresh Allowance, reconciliation."
IP-08,Learning Session,M04/M05,COVERED,Session boundary and evidence sequencing.
IP-09,Awarding,M15,COVERED,"Qualification, rule-version provenance, Award lifecycle/presentation."
IP-10,DBR,M07,COVERED,DBR scoring/configuration with M09 bounded config.
IP-11,Dashboard / Notification,M08,COVERED,Projection-only/source-event contract.
IP-12,Admin / Configuration / Audit,M09,COVERED + AUGMENTED,Static Public Content/Announcement lifecycle boundary; no universal blocker.
IP-13,SEO / Analytics,M11,COVERED + AUGMENTED,Ten mandatory public surfaces; discovery/measurement only.
IP-14,AI BYOK,M13,COVERED + AUGMENTED,Superadmin Provider Catalogue; Agent/User BYOK; lifecycle/security.
IP-15,Cross-Domain Hardening,WP-15,COVERED + AUGMENTED,"Authorization, org scope, quota, payment, learning, session, award, projection, discovery."
IP-16,Physical / Verification Handoff,P3-H/P3-J,COVERED + CONTROLLED,Planning handoff only; physical/runtime proof deferred downstream.
