wp_id,module,batch_id,work_package,parent_authority,locked_module_scope,hard_dependencies,activated_conditional_dependencies,p9_entry,p9_scope,p9_exit,functional_context,technical_context,api_context,rbac_rls_context,schema_physical_context,ui_ux_flow_state_context,seo_discovery_context,previous_green_checkpoint,current_repository_artifact_state,in_scope,out_of_scope,stop_conditions,testing_evidence,context_priority
M01-P4-WP01,M01,B01,Identity/Auth Core,Identity authority,"Identity/authentication; Conditional KTP Deferred Flow; successful OTP must not default to Pending Review/approval; KTP is eligibility/requirement, not RBAC permission; verification docs private.",NONE,NONE — activate only if this WP scope invokes the condition,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M01-P4-WP02,M01,B01,Activation & Verification,Identity authority,"Identity/authentication; Conditional KTP Deferred Flow; successful OTP must not default to Pending Review/approval; KTP is eligibility/requirement, not RBAC permission; verification docs private.",NONE,NONE — activate only if this WP scope invokes the condition,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M01-P4-WP03,M01,B01,Session/Recovery,Identity authority,"Identity/authentication; Conditional KTP Deferred Flow; successful OTP must not default to Pending Review/approval; KTP is eligibility/requirement, not RBAC permission; verification docs private.",NONE,NONE — activate only if this WP scope invokes the condition,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M01-P4-WP04,M01,B01,Identity Handoff & Validation,Identity authority,"Identity/authentication; Conditional KTP Deferred Flow; successful OTP must not default to Pending Review/approval; KTP is eligibility/requirement, not RBAC permission; verification docs private.",NONE,NONE — activate only if this WP scope invokes the condition,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M02-P4-WP01,M02,B03,Profile Core,Profile/review authority,Profile/review; semantic field/profile visibility; KTP private lifecycle; profile visibility remains distinct from authorization/ownership.,M01; M10,M09,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M02-P4-WP02,M02,B03,Review Lifecycle,Profile/review authority,Profile/review; semantic field/profile visibility; KTP private lifecycle; profile visibility remains distinct from authorization/ownership.,M01; M10,M09,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M02-P4-WP03,M02,B03,Visibility & CTA,Profile/review authority,Profile/review; semantic field/profile visibility; KTP private lifecycle; profile visibility remains distinct from authorization/ownership.,M01; M10,M09,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M02-P4-WP04,M02,B03,Profile Presentation & Validation,Profile/review authority,Profile/review; semantic field/profile visibility; KTP private lifecycle; profile visibility remains distinct from authorization/ownership.,M01; M10,M09,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M03-P4-WP01,M03,B04,Listing Core/Lifecycle,Listing + Refresh action/eligibility authority,Listing/Refresh action authority; Direct Publish; field locks; Sold/Rented/Suspended states; refresh allowance consumed from M14; Listing lifecycle remains M03.,M01; M10; M12; M14,M09; M02; M06,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
M03-P4-WP02,M03,B04,Publish & Field Locks,Listing + Refresh action/eligibility authority,Listing/Refresh action authority; Direct Publish; field locks; Sold/Rented/Suspended states; refresh allowance consumed from M14; Listing lifecycle remains M03.,M01; M10; M12; M14,M09; M02; M06,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,Load only the functional rules directly touched by the locked module scope above and its mapped Core findings.,Load current implementation/engineering contract for this WP from P9/P10_AI_BLUEPRINT; do not infer missing architecture.,"Load only current authoritative API contract material relevant to this WP. If an identifier/contract is absent, STOP rather than invent it.",Load current M10 authorization/RLS context when the WP crosses authorization boundaries; otherwise retain only applicable permission/scope constraints.,Load relevant current ERD/schema/physical contract only when data/DB work is in scope; W4-01E/W4-02/W4-03 boundaries remain intact.,Load when WP changes UI/flow/state; preserve server-side state/authorization semantics.,Load when public discovery/SEO/analytics surface is touched; M11 remains discovery/measurement authority only.,"P9 accepted engineering alignment + P10_AI_BLUEPRINT accepted AI development blueprint, subject to carried residuals.",Use current repository/artifact state only as implementation evidence/context; never treat static state as runtime/production proof.,"The named WP plus exact locked module scope, mapped Core findings, applicable dependencies, tests and evidence.","Unrelated module internals, stale history, new business rules, new authority, unobserved runtime state.",Missing authority/contract/permission/schema/provider/architecture/physical requirement; unresolved conflict; unsupported identifier; unsafe mutation ambiguity.,Static + unit + integration + negative/security where applicable; evidence must match the claim; runtime/production claims require actual proof.,CURRENT AUTHORITY > ACTIVE WP > HARD DEPENDENCY > ACTIVATED CONDITIONAL > SUPPORTING CONTEXT > HISTORICAL PROVENANCE
