residual_id,treatment,status
CR-001,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-002,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-003,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-004,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-005,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-006,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-007,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-008,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-009,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-010,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-011,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-012,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-013,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-014,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-015,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-016,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-017,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-018,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-019,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-020,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-021,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-022,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-023,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-024,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-025,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-026,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-027,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-028,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-029,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-030,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-031,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-032,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-033,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-034,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-035,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-036,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-037,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-038,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-039,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-040,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-041,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-042,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-043,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-044,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-045,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-046,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
CR-047,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD
