finding_id,severity,classification,owner,finding,p4_routing,p4_correction,downstream_gate
D13-01,High,CONTROLLED DEPENDENCY GAP,M14/M03,M14→M03 commercial-capacity invocation remains semantic/data-contract evidence; no exact internal API-to-API invocation contract is evidenced.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-02,High,CONTROLLED DEPENDENCY GAP,M14/M04,"M14→M04 purchased-LP handoff is semantically defined through commercial fulfillment → M04 LP grant, but no exact internal invocation contract is evidenced.",M14-P4-WP03 ↔ M04-P4-WP04,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-03,High,CONTROLLED TRACEABILITY GAP,M04/M15,"M04 governed evidence → M15 Qualification Evaluation/Award is valid, but endpoint-level field/contract traceability is not uniformly frozen.",M04-P4-WP06 ↔ M15-P4-WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-04,High,CONTROLLED AUTHORIZATION GAP,M07/M09/M10,"PUT /admin/config/dbr is present, but Core wording remains Superadmin-only while M07 semantic authority permits Admin configuration; M10 remains final authorization authority.",M07-P4-WP02 ↔ M09-P4-WP02 ↔ M10-P4-WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-05,High,CONTROLLED TRACEABILITY GAP,M11/M14/M09,"M11 public discovery/measurement consumes M14 Promotion truth, but Announcement/Promotion lifecycle administration remains incomplete and split across M09/M14 responsibilities.",M14-P4-WP04 ↔ M09-P4-WP03 ↔ M11-P4-WP01,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-06,High,CONTROLLED API/RBAC GAP,M10,"M10 Permission Preset semantic contract is locked, but no exact current endpoint family is evidenced.",M10-P4-WP02/WP04,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-07,High,CONTROLLED API GAP,M08,"M08 Notification State includes dismiss/delivery-state semantics, but exact current operations for those semantics are not fully evidenced.",M08-P4-WP02/WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-08,High,CONTROLLED API/PROPAGATION GAP,M09,M09 Notification Template / Content Configuration is locked ADD-NEW but lacks a complete current Core endpoint/storage contract.,M09-P4-WP02/WP04,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-09,High,CONTROLLED API GAP,M13/M09,"M13 Provider Catalogue mutation is semantically Superadmin-only, but exact mutation routes are not evidenced.",M13-P4-WP01/WP02/WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-10,High,CONTROLLED API GAP,M13/M10,M13 FORCE_REVOKE/FORCE_DISCONNECT/FORCE_DISABLE administrative interventions are semantically required but exact routes are not evidenced.,M13-P4-WP01/WP02/WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-11,High,CONTROLLED API GAP,M13,M13 complete connection lifecycle/state semantics exceed the currently evidenced connection API family.,M13-P4-WP01/WP02/WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-12,Medium/High,CONTROLLED API AUTH,M09/M10,/admin/reports/export authorization wording is broader than the M09-R11 semantic matrix.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-13,High,CONTROLLED API AUTH,M09/M10,/admin/audit-logs authorization wording is not aligned with M09-R04 scope.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-14,Medium,CONTROLLED PHYSICAL/RLS,M09/M10/M13,M09/M13 physical/RLS/security residuals remain downstream; STEP11-D does not claim runtime or deployed RLS proof.,M13-P4-WP01/WP02/WP03,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-15,High,CONTROLLED AUTHORIZATION EVIDENCE GAP,M10,Exact M10 permission-ID mapping remains unresolved and is outside STEP11 endpoint synchronization.,M10-P4-WP02/WP04,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-16,Medium,CONTROLLED RUNTIME GAP,Cross-module,"API execution, transactionality, concurrency, replay protection and production/RLS runtime behavior are not evidenced by the supplied artifacts.",CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-17,Medium,CONTROLLED HTTP CONTRACT GAP,Cross-cutting,Endpoint-specific HTTP status behavior is not uniformly frozen.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-18,Medium,CONTROLLED REQUEST/RESPONSE SCHEMA GAP,Cross-cutting,"Required/optional fields, types, enums, nullability and endpoint-specific response schemas are not uniformly frozen.",CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-19,Medium,CONTROLLED PAGINATION GAP,Cross-cutting,Endpoint-specific pagination defaults/max/filter behavior remain incomplete.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-20,Medium,CONTROLLED RATE-LIMIT GAP,Cross-cutting,"Endpoint classes, headers, Retry-After and complete 429 behavior are not uniformly frozen.",CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-21,Medium,CONTROLLED IDEMPOTENCY GAP,Cross-cutting,Endpoint-level acceptance/replay semantics are not uniformly evidenced for all retry-sensitive operations.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-22,Medium,CONTROLLED CONTENT-NEGOTIATION GAP,Cross-cutting,Explicit Content-Type/Accept/header requirements are not fully enumerated endpoint-by-endpoint.,CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
D13-23,High,CONTROLLED TRACEABILITY GAP,Cross-cutting,"API→DB, API→User Flow and API→AEP endpoint-level traceability is not uniformly complete.",CROSS-DOMAIN P4 CONTRACT/EVIDENCE GATE,"Registered as a controlled execution/evidence obligation; no unsupported endpoint, permission ID, schema, SQL or runtime completion is invented.",API/RBAC-RLS/physical/runtime verification as applicable
