finding_id,module,classification,core_artifact_id,core_path,identity_basis,semantic_identity_key,exact_duplicate_key_count,duplicate_semantic_identity_detected,canonical_merge_unit,merge_behavior,source_detail_deleted,canonical_duplicate_created,related_detail_merged,result
M01-CI-001,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M01|useridentityviewupdate,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-002,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M01|otpauthenticationlifecycle,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-003,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M01|verificationdocumentcreate,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-004,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M01|verificationdocumentview,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-005,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M01|verificationdocumentreview,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-006,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M01|agentautoactivation,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-007,M01,AUGMENT,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M01|conditionalktpeligibility,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M01-CI-008,M01,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0040|M01|ktpdeferredisinanti,1,NO,CANON-CAM11-0040,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-009,M01,RECONCILE,CAM11-0039,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0039|M01|pendingreviewisnotanaccountactivationgateotpverifiedaccountactivektpoptionalisinantiktpdeferrednotprovidedwhileaccountremainsactive,1,NO,CANON-CAM11-0039,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M01-CI-010,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M01|identityauthorizationm10,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-011,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M01|identitydependenciesm02m03m06,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
