control_id,control,p10_status,p11_route,documentary_evidence_status
CTX-01,Minimum viable context,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
CTX-02,Context exclusion,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
CTX-03,Context priority,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
EXE-01,AI execution loop,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
PRE-01,Required AI pre-flight,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
OUT-01,Required pre-implementation output,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
REP-01,Repository inspection,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
CHK-01,AI checkpoint format,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
CHG-01,AI change-control protocol,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
HIS-01,Historical blueprint rebase,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
CF-01,Carry-forward audit,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
DOD-01,Definition of Done,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
EV-01,Evidence blueprint,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
TEST-01,Static/unit/integration/negative/runtime test layers,EXPLICIT,Carry this operational control into context when applicable; do not drop safety/evidence semantics for compression.,SUPPORTED
