batch_id,module,work_package_id,work_package,entry_checkpoint,exit_checkpoint,p5_execution_status,p5_runtime_status,p9_entry,p9_scope,p9_exit,test_expectation,runtime_claim
B01,M01,M01-P4-WP01,Identity/Auth Core,B01-ENTRY,B01-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B01,M01,M01-P4-WP02,Activation & Verification,B01-ENTRY,B01-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B01,M01,M01-P4-WP03,Session/Recovery,B01-ENTRY,B01-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B01,M01,M01-P4-WP04,Identity Handoff & Validation,B01-ENTRY,B01-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B03,M02,M02-P4-WP01,Profile Core,B03-ENTRY,B03-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B03,M02,M02-P4-WP02,Review Lifecycle,B03-ENTRY,B03-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B03,M02,M02-P4-WP03,Visibility & CTA,B03-ENTRY,B03-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B03,M02,M02-P4-WP04,Profile Presentation & Validation,B03-ENTRY,B03-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B04,M03,M03-P4-WP01,Listing Core/Lifecycle,B04-ENTRY,B04-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B04,M03,M03-P4-WP02,Publish & Field Locks,B04-ENTRY,B04-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B04,M03,M03-P4-WP03,Refresh Action & Allowance Contract,B04-ENTRY,B04-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B04,M03,M03-P4-WP04,Search/Media/Validation,B04-ENTRY,B04-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B05,M04,M04-P4-WP01,Content,B05-ENTRY,B05-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B05,M04,M04-P4-WP02,Enrollment,B05-ENTRY,B05-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B05,M04,M04-P4-WP03,Activity/Completion,B05-ENTRY,B05-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
B05,M04,M04-P4-WP04,Learning Economy,B05-ENTRY,B05-EXIT,PLANNED,NOT_VERIFIED,PREDECESSORS_AND_HARD_DEPENDENCIES_REQUIRED,IMPLEMENTATION_CONTRACT_ALIGNMENT_ONLY,CONTRACT_ALIGNED_AND_EVIDENCE_CAPTURE_DEFINED,STATIC+UNIT+INTEGRATION+NEGATIVE/SECURITY_WHERE_APPLICABLE,NOT_VERIFIED
