source_file,bytes,sha256,top_level_members,nested_zip_count,zip_test
RUMAHAGEN_P11_AI_CONTEXT_FULL_REBUILD_20260908_v1.1.zip,55946,6f68400521bd63ab799430f52ee9e96895395736003c942d00d6b7ddc72b3d7d,18,0,PASS
RUMAHAGEN_P10_AI_DEVELOPMENT_BLUEPRINT_FULL_REBUILD_20260908_v1.2.zip,50502,0d158d601c7c4c508543c812f70d6019a2bddf19b9548514d75be658310eb808,17,0,PASS
RUMAHAGEN_P9_ENGINEERING_ALIGNMENT_FULL_REBUILD_20260908_v1.1.zip,59654,5282c54821bd5814ae696fb53d38c3358baa94e22c709621b5869439eed0c8c1,22,0,PASS
RUMAHAGEN_P8_EXECUTION_PACK_AUDIT_FULL_REBUILD_20260908_v1.0(1).zip,43768,74d22867a8f56dcb2918f1b9af4a89606ff471d959c1c4fa7f10de17e388c9e0,17,0,PASS
RUMAHAGEN_P6_FOCUSED_EXECUTION_PACK_M01-M07_FULL_REBUILD_20260908_v1.2.zip,54120,1eaa8ddc83e7661337d411e9b12ced981425a567928b931ad73ad7660e66f791,18,0,PASS
RUMAHAGEN_P7_FOCUSED_EXECUTION_PACK_M08-M15_FULL_REBUILD_20260908_v1.1.zip,57223,3bab8c3081787808a17aa9e295b189fde30492e76724ad79f90a71b8558028c8,20,0,PASS
Utama core RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.3(9)_GOVERNANCE_CORRECTED_STEP0_RESIDUAL_FIXED(20260907-170239).zip,1471646,7c491ce312a42f7d4debd77a4533a895dd35a71ad7464053c0bfe61639ba72e6,49,5,PASS
M01-M15 new recon(20260907-170237).zip,12682315,91354375da7c57257a7c4ef7da0aae3e26fc832f424d55d78dde8956dc7a54d7,42,38,PASS
STEP SYNC CORE(20260907-170234).zip,3994876,d453f7a0e5583faf1cdd51a5b36b7359bebc839c3c7cf3dcc991493aa69f02ea,26,23,PASS
step sync Step P.zip,577192,c776b4c66f223b71079682ad8c1c81a638835b032c60881c664b581c208d1428,5,5,PASS
