Module,CurrentArtifact,Version,SHA256,Status,Authority,Dependency,MaterialObligations,MajorLockedSemanticState,PropagatedChangeState,ResidualState,ImplementationBoundary
M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,v1.1,1c53930998a825a2b0b36bf7407239a913f8306b201e642d8628ce3e2327ed53,CURRENT CANONICAL MODULE,Identity authority,Independent / no producer edge in P14_PROJECT_MANIFEST manifest,4,Conditional KTP Deferred Flow; successful OTP does not default to Pending Review; KTP docs private/non-public; KTP eligibility/requirement is not RBAC permission.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,v1.1,eb148ae05de827ae90619ae7be69186a2423cdfe9ba66c35c4dee6b21b5a30e6,CURRENT CANONICAL MODULE,Profile/review authority,M01; M09; M10,4,Semantic field/profile visibility; KTP private lifecycle; visibility is distinct from RBAC.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,v1.3,b9e484c35d3cc997f791510ba10a5eeef0e851030a424699fff790b8317e76ca,CURRENT CANONICAL MODULE,Listing + Refresh action/eligibility authority,M01; M02; M06; M09; M10; M12; M14,9,M03 owns Listing/Refresh lifecycle; Direct Publish; field locks; Sold/Rented/Suspended; consumes M14 refresh allowance.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M04,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,v1.2,41d13dff210a1c392b03cc6035e2b2dc92f7b877c4ec2429b61e5268ee734876,CURRENT CANONICAL MODULE,Learning/session/evidence-production authority,M01; M05; M09; M10; M12; M14,3,Free-to-learn Learning Economy/LP; Learning Path; Learning Session; evidence production/provenance; M15 consumes evidence.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M05,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,v1.3,1230777319e8d7a0a358e65a2e6081f3e12dcbc69b5082d360f820850f001d36,CURRENT CANONICAL MODULE,Event/registration authority,M01; M06; M09; M10,2,Event/Registration domain; distinct from Learning Session/Enrollment.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M06,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,v1.5,64d349e107a95c4b0bf8369141f5b7ce790e1bc8a3c499513f20b3681ba028a0,CURRENT CANONICAL MODULE,Developer/project/claim authority,M01; M09; M10,5,Developer company logo + Tentang Developer; Project compatible with Listing source; Marketing Kit scoped permissions.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,v1.1,55ec667204938b5818e17b7cf39111a54e4738f66336e67cda6aa7a2a7354212,CURRENT CANONICAL MODULE,DBR authority,M01; M09; M10,2,DBR authority retained; configurable DBR formula/band/bank parameters and historical outcomes.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,v1.0,e9f1ef4d21ba81931dfa9c30e9f3a1dfbbb061cd54ddaad892b9a05658b1a602,CURRENT CANONICAL MODULE,Projection/notification authority,M01; M02; M03; M04; M05; M06; M07; M10; M12; M13; M14; M15,2,Dashboard/Notification is projection-only; no business mutation authority.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,v1.1,2631a290a8af1420ab769434b14cadb5cce18e34f57685f9288394fbb08103d0,CURRENT CANONICAL MODULE,Administrative/configuration authority within underlying domain grants,M01; M10,4,Bounded administration/configuration/audit; Static Public Content and Announcement/Promotion lifecycle/configuration stays with M09 or applicable authoritative domain.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,v1.1,553297988fd328a4d422385a20eb2d113a22d799f67fbe5e0fbbc815efd0a8c4,CURRENT CANONICAL MODULE,Authorization authority,M01,3,"Role = actor grouping; Role Permission = baseline; Permission Preset = optional configurable authorization for an existing role, never a new role/outside baseline.",P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
M11,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,v2.0,36cddb5456c7558e1a2543122dd17d674f06a9f7ba7d100a1d5cea0b9ebb8144,CURRENT CANONICAL MODULE,Public discovery/SEO/measurement layer; not source-domain business authority,M02; M03; M04; M05; M06; M09; M12; M15,4,SEO/discovery/measurement only; 10 mandatory public surfaces including Static Public Content and Announcement/Promotion.,P13_DECISION_CHANGE_LOG decisions/changes consumed; no new P15_PROJECT_CURRENT_STATE semantic decision,47 controlled residuals carried forward; no false resolution,DOCUMENTARY/DESIGN CURRENT; physical/runtime/production not verified
