guardrail_id,guidebook_topic,source_rule,p9_status,evidence_boundary
G-01,Engineering authority hierarchy,Implementation must preserve semantic/domain authority; M10 governs authorization; no module may silently absorb another module's business truth.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-02,API implementation,Follow the current API contract and module authority; do not invent undocumented endpoint identifiers or schemas.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-03,Data/SQL,Respect current data/schema authority; do not create a new physical table merely because a work package has a new name; controlled authority is required for SQL/migration changes.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-04,RBAC/RLS,Server-side authorization and applicable RLS are authoritative; UI-hidden controls are not authorization; exact IDs/SQL/runtime proof require evidence.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-05,UI mutation safety,Mutation UI follows busy → request → server authority → canonical response → reconciliation; client debounce never replaces server idempotency.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-06,Required UI states,"Applicable surfaces handle loading, empty, success, validation error, denied, not-found, server error, retry, stale, mutation in progress/failure and duplicate/replay outcomes.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-07,SEO/Analytics,"M11 is observation/discovery authority; analytics cannot mutate completion, LP, payment, entitlement, qualification or Award.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-08,M04 Learning,Learning Economy/Session/evidence remain M04; provider-neutral Session/adapter isolation; LP provenance; idempotent commercial callbacks; no direct Award mutation.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-09,M14 Commercial,M14 owns Catalog/Order/Payment Core/Verification/Fulfillment/Promotion/Reconciliation; payment is not entitlement/RBAC/Award; fulfillment is verified/idempotent; reconciliation does not silently auto-remediate.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-10,M15 Award,M04 supplies evidence; M15 owns qualification/Award. Completion/certificate/LP/payment/presentation are not equivalent to Award.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-11,M08 Projection,M08 is projection/notification only and cannot create the source event it displays.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-12,M09 Configuration,M09 is bounded admin/config/audit authority and not a universal business authority/global blocker.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-13,M10 Permission Preset,Permission Preset is optional configuration targeted to an existing Role and cannot expand the established role baseline.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-14,M12 Organization,"Organization membership/context does not silently become permission, ownership or entitlement.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-15,M13 BYOK,Provider credentials remain server-side; provider-specific SDK/payload details remain behind an adapter boundary.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-16,M03 Listing,M03 owns Listing/Refresh lifecycle/action semantics and consumes M14 allowance; MVP search remains PostgreSQL FTS + pg_trgm.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-17,M06 Developer/Project,Developer/Project ownership and claims remain distinct; Marketing Kit scope follows authorization; Project does not become Listing authority.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-18,M07 DBR,Formula/band/bank configuration remains governed/configurable; configurable parameters are not hard-coded; historical outcomes are preserved where required.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-19,Negative/security testing,"Applicable protected packages test wrong actor/resource/Organization, missing permission, stale membership, direct API bypass and direct DB/RLS bypass.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-20,Testing layers,"Separate static, unit, integration, negative/security and runtime verification; runtime PASS requires runtime evidence.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-21,Double-click/idempotency,UX protection and server-side idempotency/state/uniqueness are both required where canonical mutation can repeat.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-22,Error/recovery,"Failures are classified, contained, evidenced and fixed at the correct authority layer; downstream patches cannot hide upstream contract contradictions.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-23,Change control,Contract/physical/Owner changes propagate through the authoritative contract first; Owner-level decisions stop engineering until decided.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-24,Traceability,Meaningful implementation units retain Task→WP→Module→Functional→Technical→API→RBAC/RLS→Schema→Rule/Decision→Dependency→Acceptance→Test Evidence→Residual.,EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
G-25,Definition of Done,"Scope, contracts, tests, negative/security evidence, documentation/traceability, checkpoint and applicable UI/SEO/schema/API/RBAC requirements are complete before Done.",EXPLICITLY_ALIGNED,CONTRACT/READINESS; RUNTIME REQUIRES ACTUAL EVIDENCE
