finding_id,module,recon_semantic_detail_finding,module_authority_artifact,step03_relationship_id,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,authority_basis,authority_scope,core_evidence_line,core_evidence_excerpt,dependency,proposed_synchronization_action,classification,linkage_status,candidate_count,linkage_basis,historical_core_artifact_id,historical_core_section_heading
M01-CI-001,M01,User / Identity View-Update,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0001,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,344.0,→ enter identity/contact → verify OTP → create account → upload required verification documents,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
M01-CI-002,M01,OTP / authentication lifecycle,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0002,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,345.0,→ verify OTP,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
M01-CI-003,M01,Verification Document Create,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0003,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,347.0,→ upload required verification documents,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
M01-CI-004,M01,Verification Document View,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M01-CI-005,M01,Verification Document Review,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M01-CI-006,M01,Agent auto-activation,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0415,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# RUMAHAGEN — FUNCTIONAL SPECIFICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1 — W4-02A.6.18,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0034,# RUMAHAGEN — FUNCTIONAL SPECIFICATION
M01-CI-007,M01,Conditional KTP eligibility,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Carry validated module detail into the applicable Core contract without deleting valid Core detail.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M01-CI-008,M01,KTP DEFERRED / ISI NANTI,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0498,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,# RUMAHAGEN — REVISED MODULE PLANNING,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1 — W4-02A.6.24,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040,# RUMAHAGEN — REVISED MODULE PLANNING
M01-CI-009,M01,Pending Review boundary,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0483,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,# RUMAHAGEN — MODULE IMPLEMENTATION STRATEGY,CORE IMPLEMENTATION STRATEGY AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Integrated implementation sequencing under freeze,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1 — W4-02A.6.23,M02/M10/M12/M14/M15 as governed dependencies,Hand only the contradictory semantic portion to STEP05; preserve unrelated Core detail.,RECONCILE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0039,# RUMAHAGEN — MODULE IMPLEMENTATION STRATEGY
M01-CI-010,M01,Identity → authorization M10,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
