canonical_id,record_type,module_authority,rule_name,status,step04_classification,step05_resolution,source,core_provenance,mxx_provenance,merge_action,content_basis,baseline_document
BR-001,CORE_CANONICAL_BR,M12,Agency Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-002,CORE_CANONICAL_BR,M12,Agency Membership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-003,CORE_CANONICAL_BR,M12,Lead Role,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-004,CORE_CANONICAL_BR,M12,Member Role,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-005,CORE_CANONICAL_BR,M12,Personal Context,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-006,CORE_CANONICAL_BR,M12,Agency Context,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-007,CORE_CANONICAL_BR,M12,Membership ≠ Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-008,CORE_CANONICAL_BR,M12,Membership ≠ Personal Entitlement,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-009,CORE_CANONICAL_BR,M12,Agency Listing Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-010,CORE_CANONICAL_BR,M12,Personal Listing Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-011,CORE_CANONICAL_BR,M12,Listing Origin,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
