Screen,Folder,Actual,Expected,Dimension PASS,File PASS
OPS-001,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-001,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-002,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-002,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-003,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-003,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-004,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-004,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-005,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-005,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-006,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-006,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-007,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-007,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-008,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-008,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-009,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-009,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-010,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-010,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-011,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-011,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-012,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-012,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-013,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-013,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-014,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-014,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-015,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-015,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-016,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-016,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-017,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-017,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-018,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-018,03-MOBILE,"(390, 844)","(390, 844)",True,True
OPS-019,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
OPS-019,03-MOBILE,"(390, 844)","(390, 844)",True,True
