finding_id,module,classification,core_artifact_id,core_path,mxx_authority_artifact,semantic_delta_or_resolution,step13_evidence_artifact,successor_core_location,disposition,core_detail_retained,mxx_valid_detail_retained,approved_conflict_update_applied,whole_artifact_replacement,silent_deletion,provenance_complete,physical_runtime_status,successor_semantic_presence,successor_propagation_status,p7_execution_wp,p7_execution_batch
M08-IA-01,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Dashboard Projection,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-02,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Notification State,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP02,B07
M08-IA-03,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Source-domain visibility,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP03,B07
M08-IA-04,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Notification reference protection,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP02,B07
M08-IA-05,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,M10 boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-06,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Notification state representation,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP02,B07
M08-IA-07,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Notification operations,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP02,B07
M08-IA-08,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Admin notification push,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP02,B07
M08-IA-09,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Event/status producers,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-10,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Actor lifecycle,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-11,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Projection boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-12,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Idempotency/retry,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-13,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Provenance/audit,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-14,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Supersession,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-15,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Physical/runtime gate,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-16,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Permission cardinality,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M08-IA-17,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Source authority preservation,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP03,B07
M08-IA-18,M08,CONTROLLED,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Master progress,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M08-P4-WP01,B07
PROP-M09-01,M09,CONTROLLED,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core API /admin/reports/export,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M09-P4-WP04,B03
PROP-M09-02,M09,CONTROLLED,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core API /admin/audit-logs,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M09-P4-WP04,B03
PROP-M09-03,M09,CONTROLLED,CAM11-0041,21_EXECUTION_SPECIFICATION/W4-02A.6.25_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_v2.1.md,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core M09 physical execution spec,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0041,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M09-P4-WP01,B03
PROP-M09-04,M09,CONTROLLED,CAM11-0033,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,M10/RLS system_configs SELECT,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0033,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M09-P4-WP02,B03
PROP-M09-05,M09,CONTROLLED,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Provider catalogue physical routing,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0011,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M09-P4-WP02,B03
PROP-M09-06,M09,CONTROLLED,CAM11-0074,30_RECONCILIATION_EVIDENCE/W4-02A.5R_SOURCE_UPDATE_REVALIDATION_v1.1.docx,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Reconciliation physical actions,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0074,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M09-P4-WP01,B03
M10-CORE-01,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core RBAC,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-02,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core Permission,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
