risk_id,source_stage,risk,severity,classification,handling,route,disposition,p9_treatment,engineering_blocker
R-01,P6 v1.2,Foundation contract drift,HIGH,BLOCKING_IF_SEMANTIC,Recheck P1/P2/Core authority before downstream P4.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-02,P6 v1.2,Authority inversion,HIGH,BLOCKING_IF_SEMANTIC,Preserve M10 auth; M03 Listing/Refresh action; M14 allowance; M04 evidence; M15 Award; M11 discovery; M09 bounded admin.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-04,P6 v1.2,M03 Refresh allowance physical/API realization,MEDIUM,CONTROLLED,M14 owns allowance; M03 consumes; downstream contract/implementation proof required.,M03/B04,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-05,P6 v1.2,"M06 physical gaps: Developer fields, Marketing Kit, Claim persistence",MEDIUM,CONTROLLED,P4 routes semantic obligations and physical evidence downstream.,M06/B03,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-08,P6 v1.2,M04 physical permission/RLS and Partnership Learning realization,MEDIUM,CONTROLLED,P4 routes Session/Evidence and Learning Economy evidence gates downstream.,M04/B05,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-01,P6 v1.2,M14→M03 commercial-capacity invocation remains semantic/data-contract evidence; no exact internal API-to-API invocation contract is evidenced.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,M03/B04,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-02,P6 v1.2,"M14→M04 purchased-LP handoff is semantically defined through commercial fulfillment → M04 LP grant, but no exact internal invocation contract is evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,M04/B05,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-03,P6 v1.2,"M04 governed evidence → M15 Qualification Evaluation/Award is valid, but endpoint-level field/contract traceability is not uniformly frozen.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,M04/B05,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-16,P6 v1.2,"API execution, transactionality, concurrency, replay protection and production/RLS runtime behavior are not evidenced by the supplied artifacts.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-17,P6 v1.2,Endpoint-specific HTTP status behavior is not uniformly frozen.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-18,P6 v1.2,"Required/optional fields, types, enums, nullability and endpoint-specific response schemas are not uniformly frozen.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-19,P6 v1.2,Endpoint-specific pagination defaults/max/filter behavior remain incomplete.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
