Obligation No.,Module,Classification,P3 Work Package,Core Package,P13_DECISION_CHANGE_LOG Decision ID,Decision Status,P12_RECONCILIATION_EVIDENCE Documentary State,ModuleArtifact,ManifestStatus,P14DecisionUniverse
1,M01,RECONCILE,M01-WP02,IP-01,D-M01M15-001,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
2,M01,PRESERVE,M01-WP03,IP-01,D-M01M15-002,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
3,M01,PRESERVE,M01-WP02,IP-01,D-M01M15-003,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
4,M01,AUGMENT,M01-WP02,IP-01,D-M01M15-004,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
5,M02,RECONCILE,M02-WP03,IP-02,D-M01M15-005,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
6,M02,AUGMENT,M02-WP01,IP-02,D-M01M15-006,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
7,M02,PRESERVE,M02-WP04,IP-02,D-M01M15-007,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
8,M02,RECONCILE,M02-WP02,IP-02,D-M01M15-008,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
9,M03,RECONCILE,M03-WP01,IP-04,D-M01M15-009,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
10,M03,PRESERVE,M03-WP01,IP-04,D-M01M15-010,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
11,M03,AUGMENT,M03-WP01,IP-04/IP-13,D-M01M15-011,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
12,M03,PRESERVE,M03-WP02,IP-04/IP-02,D-M01M15-012,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
13,M03,AUGMENT,M03-WP02,IP-04,D-M01M15-013,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
14,M03,AUGMENT,M03-WP03,IP-04/IP-07,D-M01M15-014,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
15,M03,AUGMENT,M03-WP03,IP-04/IP-07,D-M01M15-015,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
16,M03,AUGMENT,M03-WP03,IP-04,D-M01M15-016,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
17,M03,AUGMENT,M03-WP01,IP-04/IP-13,D-M01M15-017,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
18,M04,CONTROLLED,M04-WP04,IP-06,D-M01M15-018,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
19,M04,CONTROLLED,M04-WP03,IP-06/IP-01,D-M01M15-019,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
20,M04,CONTROLLED,M04-WP03,IP-01,D-M01M15-020,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
21,M05,PRESERVE,M05-WP02,IP-05/IP-08,D-M01M15-021,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
22,M05,CONTROLLED,M05-WP04,IP-05/IP-08,D-M01M15-022,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
23,M06,AUGMENT,M06-WP01,IP-03,D-M01M15-023,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
24,M06,PRESERVE,M06-WP01,IP-03,D-M01M15-024,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
25,M06,RECONCILE,M06-WP01,IP-03,D-M01M15-025,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
26,M06,ADD-NEW,M06-WP03,IP-03/IP-01,D-M01M15-026,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
27,M06,RECONCILE,M06-WP04,IP-03/IP-04,D-M01M15-027,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
28,M07,PRESERVE,M07-WP01/02,IP-10/IP-12,D-M01M15-028,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
29,M07,PRESERVE,M07-WP04,IP-10/IP-12,D-M01M15-029,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
30,M08,PRESERVE,M08-WP01/04,IP-11,D-M01M15-030,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
