district_code,code,name,postal_code
110101,1101012001,Keude Bakongan,23773
110101,1101012002,Ujong Mangki,23773
110101,1101012003,Ujong Padang,23773
110101,1101012004,Gampong Drien,23773
110101,1101012015,Darul Ikhsan,23773
110101,1101012016,Padang Beurahan,23773
110101,1101012017,Gampong Baro,23773
110102,1101022001,Fajar Harapan,23771
110102,1101022002,Krueng Batee,23771
110102,1101022003,Pasi Kuala Asahan,23771
110102,1101022004,Gunong Pulo,23771
110102,1101022005,Pulo Ie I,23771
110102,1101022006,Jambo Manyang,23771
110102,1101022007,Simpang Empat,23771
110102,1101022008,Limau Purut,23771
110102,1101022009,Pulo Kambing,23771
110102,1101022010,Kampung Paya,23771
110102,1101022011,Krueng Batu,23771
110102,1101022012,Krueng Kluet,23771
110102,1101022013,Alur Mas,23771
110102,1101022014,Kampung Tinggi,23771
110102,1101022015,Ruak,23771
110102,1101022016,Simpang Lhee,23771
110102,1101022017,Suaq Geuringgeng,23771
110102,1101022018,Pasi Kuala Ba'u,23771
110102,1101022019,Kedai Padang,23771
110102,1101022020,Kotafajar,23771
110102,1101022021,Gunung Pudung,23771
110103,1101032001,Suaq Bakung,23772
110103,1101032002,Rantau Binuang,23772
110103,1101032003,Barat Daya,23772
110103,1101032004,Sialang,23772
110103,1101032005,Kapeh,23772
110103,1101032006,Pulo Ie,23772
110103,1101032007,Kedai Runding,23772
110103,1101032008,Kedai Kandang,23772
110103,1101032009,Gampong Luar,23772
110103,1101032010,Ujung,23772
110103,1101032011,Jua,23772
110103,1101032012,Pasi Meurapat,23772
110103,1101032013,Ujung Pasir,23772
110103,1101032014,Geulumbuk,23772
110103,1101032015,Pasie Lembang,23772
110103,1101032016,Ujung Padang,23772
110103,1101032017,Indra Damai,23772
110104,1101042001,Bakau Hulu,
110104,1101042002,Padang Bakau,
110104,1101042003,Manggis Harapan,
110104,1101042004,Pasar Lama,
110104,1101042005,Apha,
110104,1101042006,Ujung Batu,
110104,1101042007,Pawoh,
110104,1101042008,Dalam,
110104,1101042009,Kota Palak,
110104,1101042010,Cacang,
110104,1101042011,Tengah Pisang,
110104,1101042012,Pisang,
110104,1101042013,Hulu Pisang,
110104,1101042014,Tengah Baru,
110104,1101042015,Lembah Baru,
110104,1101042016,Padang Baru,
110105,1101052001,Kuta Buloh II,23754
110105,1101052002,Kuta Buloh I,23754
110105,1101052003,Ie Dingen,23754
110105,1101052004,Drien Jalo,23754
110105,1101052005,Jambo Papeun,23754
110105,1101052006,Buket Meuh,23754
110105,1101052007,Blang Kuala,23754
110105,1101052008,Rot Teungoh,23754
110105,1101052009,Alue Baro,23754
110105,1101052010,Ladang Tuha,23754
110105,1101052011,Lhok Mamplam,23754
110105,1101052012,Arun Tunggai,23754
110105,1101052013,Blang Teungoh,23754
110105,1101052014,Blang Bladeh,23754
110105,1101052015,Ie Buboh,23754
110105,1101052016,Keude Meukek,23754
110105,1101052017,Kuta Baro,23754
110105,1101052018,Tanjung Harapan,23754
110105,1101052019,Labuhan Tarok,23754
110105,1101052020,Lhok Aman,23754
110105,1101052021,Alue Meutuah,23754
110105,1101052022,Ladang Baro,23754
110105,1101052023,Labuhan Tarok II,23754
110106,1101062001,Dalam,
110106,1101062002,Subarang,
110106,1101062003,Kuta Baru,
110106,1101062004,Gunung Ketek,
110106,1101062005,Ladang Panton Luas,
110106,1101062006,Madat,
110106,1101062007,Alur Seumerah,
110106,1101062008,Tengah,
110106,1101062009,Gunung Cut,
110106,1101062010,Alur Pinang,
110106,1101062011,Kuta Blang,
110106,1101062012,Batee Tunggai,
110106,1101062013,Ujung Tanah,
110106,1101062014,Ujung Kampung,
110106,1101062015,Jilatang,
110106,1101062016,Luar,
110106,1101062017,Lubuk Layu,
110106,1101062018,Suaq Hulu,
110106,1101062019,Tampang,
110106,1101062020,Payonan Gadang,
110106,1101062021,Gadang,
110106,1101062022,Baru,
110106,1101062023,Ladang Kasik Putih,
110106,1101062024,Air Sialang Hilir.,
110106,1101062025,Air Sialang Hulu,
110106,1101062026,Air Sialang Tengah,
110106,1101062027,Balai,
