residual_id,treatment,status,p11_disposition
CR-001,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-002,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-003,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-004,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-005,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-006,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-007,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-008,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-009,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-010,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-011,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-012,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-013,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-014,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
