Module,ArtifactName,Layer,Status,Source,SizeBytes,SHA256
M01,WF03_STEP02_FULL_M01-M15_BLOCKER_PREREQUISITE_RETRACE_v1.0.md,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::WF03_STEP02_FULL_M01-M15_BLOCKER_PREREQUISITE_RETRACE_v1.0.md,11010,53c5b2104a79c8cfa562f18c9446065b9e063284de621a7d2665868895ff4f97
CROSS-MODULE,WF03_STEP01_OWNER_OVERRIDE_AND_RETRACE_BASELINE_v1.0.md,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::WF03_STEP01_OWNER_OVERRIDE_AND_RETRACE_BASELINE_v1.0.md,4405,88354e3dd21fb63cd83acf7afb289451078b06432099c9c2c82daf737278714a
M03,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,25873,4a91fa049761f2f3aae0373342a5082c125a481c21a45c8368f1aa28795e1ec3
M02,M02_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::M02_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,19133,a55cd04084472978604376b736fe0561917569902263e34cf64f8e08f40b8d4d
M01,M01_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::M01_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,18853,2738b2de7b93d31a26f2f1b2251bbae82bde283f6561354c528737a4f0b67d47
M04,M04_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::M04_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,7535,663eabb21c09aa50a82101ffae0d7dad549ed91f1f04a40dedc3760aca28141e
M05,RUMAHAGEN_WF03_M05_QIR_CORRECTION_CONTROLLED_FULL_v1.2.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M05_QIR_CORRECTION_CONTROLLED_FULL_v1.2.zip,134715,c53ba796721387ac3b88e8b3e4a61798ad2dcb3d0f3103f8fcd6c36610fdef7c
M06,RUMAHAGEN_WF03_M06_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M06_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,18996,3bcba5a06710b381a50796735fb3ee9e3e4ad183dabd7287d522874bee41b494
M06,RUMAHAGEN_WF03_M06_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M06_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,2963686,795b254f8f55dece4c9d281da4663bdeea348ceea05e3b353237f66303124f2e
M07,RUMAHAGEN_WF03_M07_CORE_IMPACT_ANALYSIS_CONTROLLED_v1.0_FULL_VERSION.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M07_CORE_IMPACT_ANALYSIS_CONTROLLED_v1.0_FULL_VERSION.zip,1550251,e94cc9d2d01bc3c5aa034d8dee7e6627ead68913a09c00a42b2d9c4ce8d24df6
M07,RUMAHAGEN_WF03_M07_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M07_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,484426,d7262bb33078040698eda48925074ee679ede2df87a33a34b69a08de32538e1c
M08,RUMAHAGEN_WF03_M08_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M08_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,131873,2f187838d3e9db391b443f048034b22dbb17104f43c8d5a205b7c17e746d7511
M08,RUMAHAGEN_WF03_M08_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M08_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,137277,38e5049407d42de68d07b9d01194dd3125bdb65a585795db7a39a21e931d4554
M09,M09_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::M09_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,1679883,20f3ff1262d34157d48557074c4f1fba61a9e2d27446d278713e75af6746a7ef
M09,M09_QIR_RESOLUTION_FULL_v1.2.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::M09_QIR_RESOLUTION_FULL_v1.2.zip,52713,a79746947daa16de1e4de2870638ca10dcb23552a26587841f6f8862bc071c1d
M10,RUMAHAGEN_WF03_M10_CORE_IMPACT_ANALYSIS_FULL_VERSION_v1.0.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M10_CORE_IMPACT_ANALYSIS_FULL_VERSION_v1.0.zip,565130,94e415f61b1c78ae1fd55a0ca5f0e7a6c6a6d6ad6c802ac612f88c0b81acb574
M10,RUMAHAGEN_WF03_M10_QIR_RESOLUTION_FULL_VERSION_v1.0.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M10_QIR_RESOLUTION_FULL_VERSION_v1.0.zip,383436,3905d73df61d486b4c9af5e89329bfc9940818e839349f9c6ba2b5754669f38c
M11,RUMAHAGEN_WF03_M11_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M11_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,52090,6351adf47f9bc030f246f06dc0943614806504dc72f3220bb379aee2244a9c38
M11,RUMAHAGEN_WF03_M11_QIR_RESOLUTION_FULL_v1.0_FULL_VERSION.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M11_QIR_RESOLUTION_FULL_v1.0_FULL_VERSION.zip,49384,e7b0063e30d7c3ad1cd05ce03b141f9a77c4f950e668dd3d988d59ada24b1483
M12,RUMAHAGEN_WF03_M12_QIR_RESOLUTION_FULL_v1.0.zip,MODULE_SUPPORT,CURRENT_SUPPORTING,M01-M15 new recon(20260908-034650).zip::RUMAHAGEN_WF03_M12_QIR_RESOLUTION_FULL_v1.0.zip,48513,87ff723036f3aa7b665e5bc44eaa032e680c81ee1c2719559b99cbc47cf0416e
