logical_entity,module,authority_version,mapping_status,physical_table,physical_table_present,downstream_action,note
ADDONS,M14,v2.2,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,addons,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AGENT_AI_CONNECTIONS,M13,v1.0,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_ai_connections,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AGENT_PROFILES,M01,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_profiles,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AGENT_PROJECT_CLAIMS,M06,v1.5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_project_claims,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AGENT_REVIEWS,M02,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_reviews,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AGENT_VERIFICATION_DOCUMENTS,M01,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_verification_documents,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AI_PROVIDERS,M13,v1.0,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ai_providers,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AMENITIES,M03,v1.3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,amenities,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AUDIT_LOGS,M09,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,audit_logs,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AWARDING_CONDITIONS,M15,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_conditions,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AWARDING_CONDITION_GROUPS,M15,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_condition_groups,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
AWARDING_PATHS,M15,v1.1,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_paths,YES,PRESERVE,Exact logical entity ↔ current W4-01E physical table correspondence; physical evidence only.
