Screen ID,Device,Dimensions,Logo,Dynamic Text,Responsive,Touch/Click,A11y,State Clarity,Result
XST-001,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-001,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-002,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-002,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-003,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-003,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-004,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-004,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-005,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-005,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-006,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-006,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-007,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-007,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-008,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-008,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-009,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-009,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-010,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-010,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-011,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-011,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-012,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-012,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-013,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-013,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-014,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-014,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-015,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-015,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-016,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-016,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-017,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-017,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-018,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-018,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-019,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-019,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-020,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-020,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-021,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-021,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-022,Desktop,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
XST-022,Mobile,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
