artifact,size_bytes,sha256
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_CHAIN_SOURCE_AUTHORITY_MANIFEST_RERUN-02.csv,677,f1ab34c9d581eef323f08d3d2d401b682f98e114652a69a529f1ef51bd9ef357
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_FULL_LOGICAL_ERD_REBUILD_RERUN_v2.2.md,7741,7a4b2c04670cbfee5dc9d1e78611d941ea7451b018ec82f4d2932c5e8f262302
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_LOGICAL_ATTRIBUTE_REGISTER_94_FULL_RERUN_v2.2.csv,129164,16af37a290f27855d2b2bf4767280457f9dfed9aa0186cabd941cdeb2df812b2
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_LOGICAL_ERD_RELATIONSHIP_MATRIX_FULL_RERUN_v2.2.csv,34443,edfec1c3e4e193ac06fc2ce4b6a30e62e703936a348638bf45fa630bcc14de5f
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_RERUN_FINDING_CORRECTION_REGISTER_v2.2.csv,2046,7a341bf2d9af94c70dc25fd92807c26308ca5d0cade54d415e7c5265c7cf0d8d
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_RERUN_SOURCE_HASH_MANIFEST_v2.1_LEGACY_PRESERVED.csv,2091,3eb82f3e23f8e4d66b018cbff6c752b48066b661f1a7087d311bfd63a81d1432
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_RERUN_SOURCE_HASH_MANIFEST_v2.2.csv,767,521e0bb424778b40d7360b6f2c7b6a2ad8e487acc05dd14a7cda099f3c15c94b
STEP10-A1_FULL_VERSION_RERUN_v2.2/STEP10-A1_RERUN_VALIDATION_GATE_MATRIX_v2.2.csv,1481,5a73a599aab5ba08dd9d6bac0c216caf1c6f9410e5371a20f1a1063a3e14ad8c
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_CHAIN_SOURCE_AUTHORITY_MANIFEST_RERUN-02.csv,333,6b4a81171b34d0cdcbb2e1ad820efaf61e8d8bf84c414e1cc2eb1213101deff4
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_LOGICAL_ERD_VALIDATION_RECONCILIATION_RERUN_v2.2.md,6857,a216282259d702bbec64300789103c23ffe0f42a0b46466063f18d0d1268d5cb
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_RERUN_EXCEPTION_CONFLICT_REGISTER_v2.2.csv,1242,f147115117039488d44e8234819cb7107c065b30201b85ca09d23f9e65ea02ce
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_RERUN_OUTPUT_MANIFEST_v2.2.md,257,80c3b05af48a443f6fd6e7592049161ab080b5df3555ff9af90256105c4a118f
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_RERUN_SOURCE_HASH_MANIFEST_v2.1_LEGACY_PRESERVED.csv,664,e9ccc6f75bd77fec1642cd28b086d03dd6ad08bc5a0176042624063daf764495
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_RERUN_SOURCE_HASH_MANIFEST_v2.2.csv,602,9d6ca6f4b0b8dfd8749ebeeb8376baad88daf9861dd1eadb5803af352da49c3b
STEP10-A2_RERUN_v2.2_FULL_VERSION/STEP10-A2_RERUN_VALIDATION_GATE_MATRIX_v2.2.csv,1952,699e9b5e5e3ff668e2126aa9f9078e40865a8649da0b3125b93d504cebd7ec1b
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_CHAIN_SOURCE_AUTHORITY_MANIFEST_RERUN-02.csv,681,13dc1d9e495794269a2ae5d8f590eabe59dfa5be3ea22f104d74e61336c58342
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_CONSTRAINT_FK_CARDINALITY_RECONCILIATION_RERUN_v2.2.csv,95800,055899aac1c72391cf4e952fc85ab5adb71e5a8e525dde59a438efe918753039
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_DATABASE_DICTIONARY_FULL_RECONSTRUCTION_RERUN_v2.2.md,7772,1709ba2ef755d1154727c1e16ff1aaa3b940b775e4151af8fbda934ab91c6487
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_EXCEPTION_CONFLICT_REGISTER_RERUN_v2.2.csv,3544,578bc1b8a53a800678850cc2d77591dd6f9e3e090885afa5c37447050344a069
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_FULL_ATTRIBUTE_RECONCILIATION_MATRIX_RERUN_v2.2.csv,255053,fe721fffd1b2af5841590214b3d2c6b82938d0647286432384a07eb75cc6efb5
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_LOGICAL_TO_PHYSICAL_MAPPING_MATRIX_RERUN_v2.2.csv,18914,0112a2cb5fdb54dcd83fda92901b68b99f4a503cf9abeae02d116a69e12d0ce2
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_OUTPUT_MANIFEST_RERUN_v2.2.md,1231,3f234c3d8614b1b387c59285178afbac55c8808aeafbeea524994140504ed190
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_RELATIONSHIP_RECONCILIATION_MATRIX_RERUN_v2.2.csv,34443,edfec1c3e4e193ac06fc2ce4b6a30e62e703936a348638bf45fa630bcc14de5f
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_SOURCE_AUTHORITY_PROVENANCE_MATRIX_RERUN_v2.2.csv,1170,0f066c6d9a9eeb8c92c9e004c3d81dd6f359b81164b555cd47fa1d9bac88d763
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_SOURCE_HASH_MANIFEST_RERUN_v2.1_LEGACY_PRESERVED.csv,705,aa07487972ce653d622248d77c58c545e55c50e1b60894b82a367414d536a226
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_SOURCE_HASH_MANIFEST_RERUN_v2.2.csv,1369,a159285618312d88d24e7340817a00aaaaaa1641b3a9d1f70625bdf814c1084d
STEP10-B_FULL_VERSION_RERUN_v2.2/STEP10-B_VALIDATION_GATE_MATRIX_RERUN_v2.2.csv,2276,54d55b25967d0c70bbf20ec1d91888687334781b218003479d08d7e7cc95b920
