logical_entity,module,authority_version,logical_attribute,logical_data_type,representation,logical_data_meaning,physical_table,physical_column,physical_data_type,nullable_required,pk,fk,unique,default,physical_check,physical_definition,mapping_status,conflict_or_gap,downstream_action,note,reconciliation_status,reconciliation_basis,physical_boundary_status
AI_PROVIDERS,M13,v1.1,id,UUID,PHYSICAL_CORROBORATION,PK,ai_providers,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id                        UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,code,VARCHAR(50),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,ai_providers,code,VARCHAR(50),NO,NO,NO,YES,,NO,code                      VARCHAR(50) UNIQUE NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,display_name,VARCHAR(100),PHYSICAL_CORROBORATION,NOT NULL,ai_providers,display_name,VARCHAR(100),NO,NO,NO,NO,,NO,display_name              VARCHAR(100) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,logo_url,VARCHAR(500),PHYSICAL_CORROBORATION,,ai_providers,logo_url,VARCHAR(500),YES,NO,NO,NO,,NO,logo_url                  VARCHAR(500),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,billing_type,TEXT,PHYSICAL_CORROBORATION,NOT NULL,ai_providers,billing_type,TEXT,NO,NO,NO,NO,'free_tier_ongoing',NO,billing_type              TEXT NOT NULL DEFAULT 'free_tier_ongoing',PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,setup_instructions_url,VARCHAR(500),PHYSICAL_CORROBORATION,NOT NULL,ai_providers,setup_instructions_url,VARCHAR(500),NO,NO,NO,NO,,NO,setup_instructions_url    VARCHAR(500) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,usage_terms_note,TEXT,PHYSICAL_CORROBORATION,,ai_providers,usage_terms_note,TEXT,YES,NO,NO,NO,,NO,usage_terms_note          TEXT,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,requires_expiry_warning,BOOLEAN,PHYSICAL_CORROBORATION,NOT NULL,ai_providers,requires_expiry_warning,BOOLEAN,NO,NO,NO,NO,false,NO,requires_expiry_warning   BOOLEAN NOT NULL DEFAULT false,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AI_PROVIDERS,M13,v1.1,status,TEXT,PHYSICAL_CORROBORATION,NOT NULL,ai_providers,status,TEXT,NO,NO,NO,NO,'active',YES,"status                    TEXT NOT NULL DEFAULT 'active' CHECK (status IN ('active','inactive'))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AMENITIES,M03,v1.3,id,UUID,PHYSICAL_CORROBORATION,PK,amenities,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
