finding_id,module,status,core_artifact,reason
M01-CI-001,M01,RESOLVED,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Exact current Core evidence anchor established.
M01-CI-002,M01,RESOLVED,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Exact current Core evidence anchor established.
M01-CI-003,M01,RESOLVED,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Exact current Core evidence anchor established.
M01-CI-012,M01,RESOLVED,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,Exact current Core evidence anchor established.
M02-CI-006,M02,RESOLVED,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Exact current Core evidence anchor established.
M02-CI-010,M02,RESOLVED,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,Exact current Core evidence anchor established.
M02-CI-015,M02,RESOLVED,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M02_PHYSICAL_EXECUTION_SPEC_v2.1.md,Exact current Core evidence anchor established.
M03-CI-019,M03,RESOLVED,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M03_PHYSICAL_EXECUTION_SPEC_v2.1.md,Exact current Core evidence anchor established.
M07-IA-006,M07,RESOLVED,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M07_PHYSICAL_EXECUTION_SPEC_v2.1.md,Exact current Core evidence anchor established.
M02-CI-011,M02,RESOLVED,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md; 16_UI_UX/W4-02A.6.20_UI_UX_SPECIFICATION_CURRENT_INTERFACE_BEHAVIOR_CONTRACT_v2.1.md,STEP03-A established exact contradictory current Core evidence anchors: Functional §6.1 lines 340–372 and UI/UX §9.3 lines 666–680. Deterministic finding-level relationships SR-F-0010/SR-F-0011 created; final semantic resolution remains STEP05.
