SourceID,SourceArtifact,SizeBytes,SHA256,ProvenanceType,Use
P13_DECISION_CHANGE_LOG,RUMAHAGEN_P13_DECISION_CHANGE_LOG_FULL_REBUILD_v1.2.zip,54276,e72e05f19c09c1976673015a4b416359ae5ae9059ad8860df8ef77bc2d9338b3,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
MRECON,M01-M15 new recon(20260908-034650).zip,12682315,91354375da7c57257a7c4ef7da0aae3e26fc832f424d55d78dde8956dc7a54d7,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
CORE,Utama core RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.3(9)_GOVERNANCE_CORRECTED_STEP0_RESIDUAL_FIXED(20260908-034646).zip,1471646,7c491ce312a42f7d4debd77a4533a895dd35a71ad7464053c0bfe61639ba72e6,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
PSTEP,step sync Step P(1).zip,577192,c776b4c66f223b71079682ad8c1c81a638835b032c60881c664b581c208d1428,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P12_RECONCILIATION_EVIDENCE,RUMAHAGEN_P12_RECONCILIATION_EVIDENCE_FULL_REBUILD_20260908_v1.1.zip,251930,0c6aa3931166aa1f9407d14cf55532e48f981298048085455a3f65f35dae13da,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P11_AI_CONTEXT,RUMAHAGEN_P11_AI_CONTEXT_FULL_REBUILD_20260908_v1.2.zip,58860,80e773988c33899c8f74be9207eca4fc35490787030f197aea4287c5684e8103,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P10_AI_BLUEPRINT,RUMAHAGEN_P10_AI_DEVELOPMENT_BLUEPRINT_FULL_REBUILD_20260908_v1.2.zip,50502,0d158d601c7c4c508543c812f70d6019a2bddf19b9548514d75be658310eb808,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P9,RUMAHAGEN_P9_ENGINEERING_ALIGNMENT_FULL_REBUILD_20260908_v1.1.zip,59654,5282c54821bd5814ae696fb53d38c3358baa94e22c709621b5869439eed0c8c1,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P8,RUMAHAGEN_P8_EXECUTION_PACK_AUDIT_FULL_REBUILD_20260908_v1.0(1).zip,43768,74d22867a8f56dcb2918f1b9af4a89606ff471d959c1c4fa7f10de17e388c9e0,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P6,RUMAHAGEN_P6_FOCUSED_EXECUTION_PACK_M01-M07_FULL_REBUILD_20260908_v1.2.zip,54120,1eaa8ddc83e7661337d411e9b12ced981425a567928b931ad73ad7660e66f791,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P7,RUMAHAGEN_P7_FOCUSED_EXECUTION_PACK_M08-M15_FULL_REBUILD_20260908_v1.1.zip,57223,3bab8c3081787808a17aa9e295b189fde30492e76724ad79f90a71b8558028c8,UPLOADED_THIS_TURN,P14_PROJECT_MANIFEST source corpus
P1,RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.1.zip,107542,1b58f73442b8f1a59d193645c512ab113db27e08d3f24e47084bb417f04c809f,NESTED_IN_UPLOADED_STEP_SYNC,Current canonical P-step artifact
P2,RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,209415,b379851d55006a26ef9cf33d087c2832f317a572ec6fcd96c131ed521a4fd106,NESTED_IN_UPLOADED_STEP_SYNC,Current canonical P-step artifact
P3,RUMAHAGEN_P3_REVISED_MODULE_PLANNING_FULL_REBUILD_20260907_v1.1.zip,54607,ded06455f433bfe9892887737d7d1e17a7747e8136b2af1404d7099156838b1e,NESTED_IN_UPLOADED_STEP_SYNC,Current canonical P-step artifact
P4,RUMAHAGEN_P4_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_FULL_REBUILD_20260907_v1.3.zip,106266,996dd6188b188b0ef9cf1b3bb2328d704d7e1ea7f63dfecc8fe98860c8bf5f60,NESTED_IN_UPLOADED_STEP_SYNC,Current canonical P-step artifact
P5,RUMAHAGEN_P5_EXECUTION_BATCH_PLAN_FULL_REBUILD_20260907_v1.1.zip,107726,449ec695a80091910d01d0bd67db7de2e438749d235daa5665414d07afea8668,NESTED_IN_UPLOADED_STEP_SYNC,Current canonical P-step artifact
P14_PROJECT_MANIFEST-v1.1,RUMAHAGEN_P14_PROJECT_MANIFEST_FULL_REBUILD_v1.1.zip,239421,1d87e78e31e587c0976315e49e676acd41b84661834a273cbf633629303fc514,UPLOADED_THIS_TURN,Prior P14_PROJECT_MANIFEST candidate under deep-scan review; superseded by P14_PROJECT_MANIFEST v1.2
