logical_entity,logical_attribute,representation,authority_version,logical_data_meaning,note,physical_table,physical_column,lifecycle_or_history_indicator,meaning_evidence_status,provenance_status,physical_status_boundary
AI_PROVIDERS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,ai_providers,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AI_PROVIDERS,code,PHYSICAL_CORROBORATION,v1.1,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,ai_providers,code,NO,EXPLICIT,PASS,CORROBORATION ONLY
AI_PROVIDERS,display_name,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,ai_providers,display_name,NO,EXPLICIT,PASS,CORROBORATION ONLY
AI_PROVIDERS,logo_url,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,ai_providers,logo_url,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AI_PROVIDERS,billing_type,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,ai_providers,billing_type,NO,EXPLICIT,PASS,CORROBORATION ONLY
AI_PROVIDERS,setup_instructions_url,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,ai_providers,setup_instructions_url,NO,EXPLICIT,PASS,CORROBORATION ONLY
AI_PROVIDERS,usage_terms_note,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,ai_providers,usage_terms_note,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AI_PROVIDERS,requires_expiry_warning,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,ai_providers,requires_expiry_warning,NO,EXPLICIT,PASS,CORROBORATION ONLY
AI_PROVIDERS,status,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,ai_providers,status,YES,EXPLICIT,PASS,CORROBORATION ONLY
AMENITIES,id,PHYSICAL_CORROBORATION,v1.3,PK,Exact logical attribute ↔ physical column.,amenities,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AMENITIES,name,PHYSICAL_CORROBORATION,v1.3,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,amenities,name,NO,EXPLICIT,PASS,CORROBORATION ONLY
PERMISSIONS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,permissions,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
PERMISSIONS,module_code,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,permissions,module_code,NO,EXPLICIT,PASS,CORROBORATION ONLY
PERMISSIONS,action_code,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,permissions,action_code,NO,EXPLICIT,PASS,CORROBORATION ONLY
PERMISSIONS,scope_type,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,permissions,scope_type,NO,EXPLICIT,PASS,CORROBORATION ONLY
PERMISSIONS,description,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,permissions,description,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
