screen_id,title,scope,desktop_states,mobile_states
ORG-001,Organization Dashboard,M12,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
ORG-002,Organization Settings,M12,"ready,validation,error,success,denied","ready,validation,error,success,denied"
ORG-003,Members & Membership,M12,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
ORG-004,Invitations & Join Requests,M12,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
ORG-005,Create Organization,M12,"ready,validation,error,success,denied","ready,validation,error,success,denied"
ORG-006,Organization Activity,M12,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
ORG-007,Organization Closure,M12,"ready,validation,error,success,denied","ready,validation,error,success,denied"
DEV-001,Developer Profile,M06/M03,"ready,validation,error,success,denied","ready,validation,error,success,denied"
DEV-002,Developer Projects,M06/M03,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
DEV-003,Create / Edit Project,M06/M03,"ready,validation,loading,error,success,denied","ready,validation,loading,error,success,denied"
DEV-004,Project Detail,M06/M03,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
DEV-005,Project Media,M06/M03,"ready,loading,empty,error,success,denied","ready,loading,empty,error,success,denied"
DEV-006,Marketing Kit,M06/M03,"ready,loading,empty,error,success,denied","ready,loading,empty,error,success,denied"
DEV-007,Project Claims,M06/M03,"ready,loading,empty,error,success,denied","ready,loading,empty,error,success,denied"
DEV-008,Approved Claim → Listing Initialization,M06/M03,"ready,loading,error,success,denied","ready,loading,error,success,denied"
ORG-008,Organization Resources,M12,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
ORG-009,Organization Listings Context,M12,"ready,loading,empty,error,denied","ready,loading,empty,error,denied"
