screen_id,title,surface,substep,field_count,fields,states
EVT-001,Event Calendar & Discovery,client,WF-05.01,5,Search events; Category; Date range; Location / mode; Status / availability,loading; ready; empty; error; retry; offline
EVT-002,Event Detail & Registration,client,WF-05.02,14,Event title; Category; Description; Date & time; Online / offline; Location; Meeting destination; Registration window; Quota; Participant mode; Related Course; Related Project; Related Session; Guest email (Guest path),loading; ready; pending; confirmed; waitinglist; rejected; error; expired; denied
EVT-003,My Event Registration & Participant State,client,WF-05.02,7,Event; Participant mode; Registration state; Registered at; Cancellation state; Attendance (optional); Guest contact when applicable,loading; ready; empty; pending; confirmed; cancelled; error; denied
ADM-EVT-001,Event Management,admin,WF-05.03,5,Search; Status; Date; Category; Scope / owner,loading; ready; empty; error; retry; denied
ADM-EVT-002,Create / Edit Event Wizard,admin,WF-05.03,14,Event title; Category; Description; Online / offline; Location (offline); Start date/time; End date/time; Quota; Registration mode / approval; Registration window; Related Course; Related Project; Related Session; Host,untouched; dirty; valid; invalid; submitting; success; server-error; denied
ADM-EVT-003,Event Registration & Attendee Management,admin,WF-05.03,6,Participant; Participant mode; Registration state; Registered at; Cancellation action/state; Attendance,loading; ready; empty; error; retry; denied
ADM-EVT-004,"Event Review, Publish & Cancellation",admin,WF-05.03,6,Event status; Submitted by; Created at; Updated at; Review outcome; Cancellation action,loading; ready; pending_approval; published; rejected; cancelled; error; denied
ADM-EVT-005,Event Provider Configuration & Binding,admin,WF-05.03,6,Provider policy; Selected provider; Binding state; Determination timing; Provider-specific configuration; Switch status,loading; ready; unbound; bound; switch-pending; error; denied
SES-001,Session Detail & Access,client,WF-05.04,7,Session title; Session type; Schedule; Visibility; Host; Instructor; Related Event,loading; ready; unavailable; error; denied
SES-002,Session Enrollment & Access State,client,WF-05.04,5,Session; Enrollment state; Access eligibility; Join / access action; Provider availability,loading; ready; pending; active; completed; rejected; error; denied
SES-003,Session Participation & Outcome,client,WF-05.04,4,Participation state; Attendance outcome; Completion outcome; Artifacts,loading; ready; empty; processing; completed; failed; error
ADM-SES-001,Session Management,admin,WF-05.05,5,Search; Lifecycle; Visibility; Schedule; Organization / Event scope,loading; ready; empty; error; retry; denied
ADM-SES-002,Create / Edit Session Wizard,admin,WF-05.05,6,Session type; Content / description; Schedule; Visibility; Organization association; Event association,untouched; dirty; valid; invalid; submitting; success; server-error; denied
ADM-SES-003,Host & Instructor Assignment,admin,WF-05.05,5,Session; Host assignment; Instructor assignment; Assignment state; Scope,loading; ready; empty; success; error; denied
ADM-SES-004,Session Provider Binding,admin,WF-05.06,6,Provider policy; Selected provider; Binding state; Provider-specific configuration; Switch status; Error / retry,loading; ready; unbound; bound; error; denied
ADM-SES-005,"Session Attendance, Evidence, Completion & Artifacts",admin,WF-05.06,7,Participant; Attendance; Completion; Validation / evaluation; Evidence; Artifacts; Authoritative result,loading; ready; empty; processing; success; failed; error; denied
