field_id,required,wire10_treatment,authoritative_wireframe,semantic_dependency_requiredness_conditionality_ux
listing_context,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 owns Personal/Organization context semantics; required; Organization disclosure is conditional; context does not mutate ownership"
category,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 canonical selection; required"
transaction_type,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 selection; required; drives transaction-dependent semantics"
title,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 text input; required; distinct from SEO meta_title; may be source-initialized by approved Project/Claim context"
property_type,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 canonical property field; required; locked after first Publish"
price,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 numeric/currency input; required"
is_negotiable,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 choice/toggle; required"
address,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 long-text location field; required; locked after first Publish; independent from optional map point"
province,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 hierarchical location select; required"
city,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 hierarchical location select; required; depends on Province"
district,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 hierarchical location select; required; depends on City/Kabupaten"
dispute_free_declared,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 explicit declaration/affirmation; required; authoritative validation remains M03"
whatsapp_number,YES,"Shared state patterns only; no domain control duplicated","WIRE-02 / M03","WIRE-02 explicit contact field; required; validation feedback uses WIRE-10 shared pattern"
