source_relative_path,bytes,sha256
AEP1 impact(1)/AEP1_Final_Synchronization_Reconciliation_v1.0.docx,38896,9a903b6a821ac1622579f7770fdef35852faa96752bf15fa79c352adf6451e43
AEP1 impact(1)/AEP1_Impact_01_Governance_ADR_Reconciliation.docx,37426,2cd4b189c491d0791ca85411f9f88f899a84552dacb3344b502dfbd7d5083646
AEP1 impact(1)/AEP1_Impact_02_ERD_Entity_Impact_and_Delta.docx,37526,d217d1cffea11cf16f5714acc3edf404fcc90bea3b6ffcb62c1c58bfcd8d5728
AEP1 impact(1)/AEP1_Impact_03_API_Synchronization_Specification.docx,37717,5e1786bd64579c19f54a74a78dd08e4b0703fa9c609ad3a57b7bf62f0235a68f
AEP1 impact(1)/AEP1_Impact_04_RBAC_Permission_Impact_Specification.docx,38420,5a11e888bb3069f14b530fe814516714fd416fa0d6e6c8ef6e38282a551321dc
AEP1 impact(1)/AEP1_Impact_05_User_Flow_Impact_Specification.docx,38562,13a69887e9530ba4a2a9af56eb59ac11d218be15e6a2130844b3f9436057106f
AEP1 impact(1)/AEP1_Impact_06_PRD_Impact_Specification.docx,38822,f0458863798bbdfe7be2598261c84772d4cbca3dd6cc70ee2cc657722dda23bd
AEP1 impact(1)/AEP1_Impact_07_Cross_Document_Traceability_Audit.docx,38973,d171c07a98859bd3980ae42b4ed9b760ebd200c8b14518916c96916b6ab38e25
AEP1 impact(1)/AEP1_Impact_08_Schema_Database_Impact_Specification.docx,39418,08b4ff35745637c51bbbed8a3aa4405f1899a93385c64d2d654c6d8e4e52a04a
AEP1 impact(1)/AEP1_Impact_09_Payment_Integration_Contract_Impact_Specification.docx,39334,fc69e2398d2e85885ad3e16aacef10aac3719fe301368ed46b2993c48e4add0b
AEP1 impact(1)/AEP1_Impact_10_Engineering_Guidebook_Playbook_Impact_Specification.docx,39189,69f3c9e538f646bbdb8439b50447e9a0052aefc8a1c643536ce7d373280f2241
AEP1 impact(1)/AEP1_Impact_11_Test_and_Business_Rule_Traceability.docx,39225,b58f9fb285187709181080c6a7d0c436aaee97e840cdc3c2e26881d35e1a7a90
AEP1 impact(1)/AEP2_Impact_02_Decision_Formalization_LE001_LE008.docx,38571,9696976fd0e8132afe444e3c3a280c0d437f08f3913e16a441ae165106da9e13
AEP2 impact (1)/AEP2_Final_Synchronization_Record_v1.0.docx,39117,98f889cb98944055ef8a2ac03869f3024a8c52d5c6867e6ed7dee13651d28996
AEP2 impact (1)/AEP2_Impact_01_Governance_ADR_Reconciliation.docx,39661,c168243a85767e733365eb1b78b59a11fe871d9044075d4f5982a182506da4a4
AEP2 impact (1)/AEP2_Impact_02_Decision_Formalization_LE001_LE008.docx,38571,9696976fd0e8132afe444e3c3a280c0d437f08f3913e16a441ae165106da9e13
AEP2 impact (1)/AEP2_Impact_03_Learning_Economy_Domain_Architecture_Impact.docx,40508,1460a3fc0441e8b971918cb1bad871b15765575d058e2f9e525b5e78218cfe44
AEP2 impact (1)/AEP2_Impact_04_ERD_Entity_Relationship_Impact.docx,40219,0e91fae9cff7b71675cc06f5a54fd5d2ae07b502c3769fb2edf403c2e7ae5c99
AEP2 impact (1)/AEP2_Impact_05_Schema_Database_Impact_Specification.docx,40699,054f624e01a9cee21b5b9888eddc3e09bb251331869193fdd0fc4a009b7d1833
AEP2 impact (1)/AEP2_Impact_06_Payment_Learning_Integration_Contract_Impact.docx,40117,0a0b66d4e1733274dbf28088a72dae8d0b1f543c649629759c1d2ab25a0db7ad
AEP2 impact (1)/AEP2_Impact_07_API_Impact_Specification.docx,40806,46b08c372db8f85db1bb06ae34a05336180258407b00cb6e49108153b6ffa493
AEP2 impact (1)/AEP2_Impact_08_RBAC_Permission_Impact_Specification.docx,40340,51cea2343574373b47159c95f4957a5a065f97b657d12a3c0cf0d784b4bba65f
AEP2 impact (1)/AEP2_Impact_09_User_Flow_Impact_Specification.docx,41032,156953a7f032982fbf99844d8411e5dcda809e1c043c7884555a58b974f5a731
AEP2 impact (1)/AEP2_Impact_10_PRD_Impact_Specification.docx,41520,a498c65b597baa4aa17e476eba909ffb65029d532dbce205ab7a2dbd4a0c117d
AEP2 impact (1)/AEP2_Impact_11_Engineering_Guidebook_Playbook_Impact.docx,41265,1244fc0e4819a79a6dce227aff10050b3b19af4b9123f9e26c4b002527c2a458
AEP2 impact (1)/AEP2_Impact_12_Test_Business_Rule_Traceability.docx,40887,c7a01ebb273238df55613fb44c5d756c1e6cd134bdbd74a0bc9b67d433f11d28
AEP2 impact (1)/AEP2_Impact_13_Cross_Document_Traceability_Reconciliation_Audit.docx,39803,8ef7417957765962e4e742436f261706630e62e2e82ab6af5c5ac50e88823c1f
AEP2 impact (1)/AEP2_Impact_14_ADR_LE005_Canonicalization_Governance_Disposition.docx,38641,92de7518530c35c915223c2f24bb4aa99caafe0055ec353f90b41715666a11da
AEP3 impact(1)/AEP3_Consolidation_Architecture_Review_v1.0.docx,41031,45c11458b7cb58647353058ca37e53f3b23daad8ecd7bc92fa7d8d65160b2975
AEP3 impact(1)/AEP3_Controlled_Synchronization_Execution_Report_v1.0.md,2113,76eea23e4852e7c62c9a643572d802d94491a6905c1b1113e4d46c4a499885c2
AEP3 impact(1)/AEP3_Final_Synchronization_Package_v1.0.docx,40651,8b982363c4f83117730d297a1f00f64572b7d91aed11981d259e1dee6a72b8b2
AEP3 impact(1)/AEP3_Impact_01_Governance_and_Current_Architecture_Impact_Analysis_v1.0.docx,39954,322597d4712ac5db9dff867ffc404329ace0400ca1f63e574b2de3bc788fe063
AEP3 impact(1)/AEP3_Impact_02_Target_Title_Awarding_Domain_Architecture_v1.0.docx,41909,332021cbeed590bff01e8aa0516bf09d5f915f531e2754eb6436103ef2aea62f
AEP3 impact(1)/AEP3_Impact_03_ERD_Entity_Relationship_Impact_Specification_v1.0.docx,42041,a0a430250df1afde9b567cb537d593f84d7610993eb74be7260cfc98d1c9eab2
AEP3 impact(1)/AEP3_Impact_04_Schema_Database_Impact_Specification_v1.0.docx,40593,8676f349f3f3d3671c216fc99c9de55590968f5bc7834afad6856eb26f969dcf
AEP3 impact(1)/AEP3_Impact_05_API_Synchronization_Contract_Impact_Specification_v1.0.docx,41934,f3d4a92e7f5262ed4b246c0557fb0cb2cb3c7922ad6cf722e5728003d01c22fc
AEP3 impact(1)/AEP3_Impact_06_RBAC_Permission_Impact_Specification_v1.0.docx,40639,3dcdcc2bd849f60aab446f50bcefe85e4b08a9b6d32039a42a3d662699e9357e
AEP3 impact(1)/AEP3_Impact_07_User_Flow_Impact_Specification_v1.0.docx,40637,0f4d9a93d23fcaeab7dfc8bb1fe066e299c398d4f6990b95b60f7a2ca0bb7adb
AEP3 impact(1)/AEP3_Impact_08_PRD_Product_Requirement_Impact_Specification_v1.0.docx,41271,3d6819c3aa8bf5f145daef61f06435f71fcad1b4b817a6b074634e12591be36b
AEP3 impact(1)/AEP3_Impact_09_Engineering_Service_Boundary_Impact_Specification_v1.0.docx,40362,21cdc8fafb8c168325c64c04c1302e285fd3bdcbf00c99847bea63d282bdd695
AEP3 impact(1)/AEP3_Impact_10_Traceability_Acceptance_Test_Impact_Specification_v1.0.docx,41123,992b3008094905564de2a1c51c26a16b8e744276df48b76a693ea5519ee0c9b6
AEP3 impact(1)/AEP3_OD01_Title_Identity_Version_Decision_v1.0.docx,38345,c0b8e27ccd7642d86b30ee88da1504639e6216254d2a58c4ead0c091b72bd583
AEP3 impact(1)/AEP3_OD06_Awarding_Authority_Model_Decision_v1.0.docx,39389,3de231ff73af31a60c785fce621ed9edb5cf0f596b4dfe38e19b5b8f578a3d08
AEP4 impact/RUMAHAGEN-AEP4-REVIEW-CONTINUITY-AND-CORRECTED-CURRENT-STATE-v1.0 (1).docx,40902,d6a5022cfc56b9fdad638f646d721ba2548e946d9f9d8a91d1b1684144bc8fb7
AEP4 impact/RUMAHAGEN-AEP4-REVIEW-CONTINUITY-AND-CORRECTED-CURRENT-STATE-v1.0.docx,40902,d6a5022cfc56b9fdad638f646d721ba2548e946d9f9d8a91d1b1684144bc8fb7
AEP4 impact/RUMAHAGEN-AEP4-STEP-01-GOVERNANCE-EVIDENCE-RECONCILIATION-v1.0.docx,40337,aa02710a7bd655bad3943e1ed5e9fe3bef5e0ca0fa7ff563c49877da4808c51a
AEP4 impact/RUMAHAGEN-AEP4-STEP-02-CORE-DECISION-SET-v1.0.docx,40367,02366b3d2a9314595b09e7df053dbf7fd11874cd638da8b6c42e92c3326111c6
AEP4 impact/RUMAHAGEN-AEP4-STEP-02-DECISION-LOG-OD01-OD15-v1.0.docx,38582,95827813222890c22de366e7fecf0c821f32f83a5a62c2ebcddbdf54e59449ed
AEP4 impact/RUMAHAGEN-AEP4-STEP-03-DECISION-CONSOLIDATION-BOUNDARY-TRACEABILITY-v1.0.docx,40689,b62489be290f0caa1e82e3a09f2d6892c57e6ceda8d20c85278072ebd9d96040
AEP4 impact/RUMAHAGEN-AEP4-STEP-04-LEARNING-SESSION-DOMAIN-ARCHITECTURE-IMPACT-v1.0.docx,41321,32a9a9c990c01a107fa40bdf0f5938624a9b6483b12702833b5c939000879cf4
AEP4 impact/RUMAHAGEN-AEP4-STEP-04-OD16-DECISION-AND-STEP05-LOGICAL-ENTITY-IMPACT-v1.0.docx,39560,206e73919b6a4940bb79d466fe0b86b9ca1fe6e2926ff2a0425a2eb2d68bda84
AEP4 impact/RUMAHAGEN-AEP4-STEP-05-OD17-ENROLLMENT-LIFECYCLE-v1.0.docx,38808,75c9559b35a33fdf21232c4f42c23b9c8d4ff966dd50395beee129b4e37f3f62
AEP4 impact/RUMAHAGEN-AEP4-STEP-06-ERD-LOGICAL-RECONCILIATION-v1.0.docx,40892,e56cd22914ecf311e4427f3a0503f55d6a7a3c10f4672fb8f5c0bc4c7a9d9b1b
AEP4 impact/RUMAHAGEN-AEP4-STEP-07-LOGICAL-SCHEMA-DATA-DICTIONARY-IMPACT-v1.0.docx,41018,7bdbd206f53dc6671000ef159d8dd4d696c9cf11ebda7d9ca022e7050f38e795
AEP4 impact/RUMAHAGEN-AEP4-STEP-08-PROVIDER-ADAPTER-INTEGRATION-CONTRACT-IMPACT-v1.0.docx,41943,ce57199351844a731afd1933aab116adb245936171e2527150a662e34c6ec173
AEP4 impact/RUMAHAGEN-AEP4-STEP-09-API-IMPACT-SPECIFICATION-v1.0.docx,41329,6cc640849c6db057ca347297e90d6109c4a38e9f0e4f1349fd32e061eb0edb7e
AEP4 impact/RUMAHAGEN-AEP4-STEP-10-RBAC-PERMISSION-IMPACT-v1.0.docx,41767,ea16e9938413a480bc9bd24ea33bc670144217cbc198f4d257ee0b229016e9de
AEP4 impact/RUMAHAGEN-AEP4-STEP-11-USER-FLOW-IMPACT-SPECIFICATION-v1.0.docx,42088,bdc43315a1d1e08d98260d1a8ef540332401b5020729779601bfd57fd54dd5ff
